stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,620,255,google/gemma-4-26b-a4b-it:free,2026-07-31T19:41:20.568778
31,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:06:53.128420
40,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:07:06.907673
55,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:07:31.663520
60,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:07:49.800418
64,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:07:57.508051
67,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:08:08.284587
68,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:08:23.407392
71,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:08:42.215472
77,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:08:59.121927
89,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:09:18.236901
97,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:09:44.636813
102,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:10:12.896843
108,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T13:10:31.014327
159,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:10:58.088079
175,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:11:14.327301
185,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T13:11:39.560360
200,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:11:56.041531
210,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:12:15.045671
214,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:12:27.659128
219,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:12:45.161652
238,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:13:20.216588
245,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:13:37.338021
248,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:14:03.818456
260,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T13:14:23.157527
278,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:14:36.401857
282,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T13:14:53.227552
287,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:15:12.329677
295,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:15:38.541083
297,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:15:53.404333
299,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:16:29.456853
313,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T13:16:41.821121
315,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:17:04.170813
322,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T13:17:18.272102
332,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:17:29.641743
333,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:17:45.136865
352,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T13:18:06.430815
366,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:18:27.664434
372,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:18:45.814883
378,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:19:12.278558
381,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:19:59.041735
382,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:20:07.582325
389,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T13:20:22.669576
421,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:20:34.294302
424,620,253,google/gemma-4-26b-a4b-it:free,2026-08-03T13:21:14.922181
430,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:21:37.829130
446,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:21:53.187156
454,620,261,google/gemma-4-26b-a4b-it:free,2026-08-03T13:22:08.863560
457,620,261,google/gemma-4-26b-a4b-it:free,2026-08-03T13:22:33.448400
483,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:22:44.560106
496,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:23:09.070494
501,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T13:23:43.482123
515,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:23:55.354383
520,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:24:15.607185
527,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:24:33.272753
530,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:24:56.895807
559,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:25:33.438808
594,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:25:44.671096
599,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T13:25:56.477693
606,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T13:26:20.467292
612,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:26:35.244748
619,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:27:01.579962
622,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:27:29.844346
626,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T13:27:49.066686
631,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:28:09.784984
656,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:28:30.434194
657,620,253,google/gemma-4-26b-a4b-it:free,2026-08-03T13:28:44.883260
683,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:29:02.920281
706,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:29:17.888810
718,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:29:38.499725
719,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:29:52.427783
721,620,261,google/gemma-4-26b-a4b-it:free,2026-08-03T13:30:07.029243
747,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:30:34.726657
758,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T13:30:47.722969
768,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:31:17.506916
774,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:31:30.708025
784,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:32:23.026192
794,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T13:33:00.795547
804,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:33:45.435143
810,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:34:11.525241
817,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:34:38.374800
820,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:35:08.319199
849,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:35:20.207220
877,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:35:39.425165
884,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T13:36:24.072893
891,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:36:44.307190
905,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T13:37:17.288715
907,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:37:33.451020
921,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:38:25.941974
927,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T13:38:48.463004
930,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:39:05.576305
934,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T13:39:25.460088
945,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:40:08.368943
953,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T13:40:30.305929
955,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:40:46.215827
960,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:41:01.398371
979,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T13:41:19.611174
24,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T14:30:39.174400
552,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T14:30:57.441867
915,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T14:31:11.938044
