stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:21:05.791399
2,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:21:20.044237
3,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:21:34.756400
4,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:21:49.841478
5,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:22:27.923323
6,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:23:17.692555
7,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:23:32.298636
9,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:24:19.716316
10,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:24:37.704685
11,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:24:57.485297
12,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:25:15.316820
13,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:25:28.830106
14,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:26:01.391359
15,583,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:26:13.143234
16,620,261,google/gemma-4-26b-a4b-it:free,2026-08-06T09:27:41.876627
17,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:28:28.382551
18,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:28:40.412870
19,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:29:02.723976
20,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:29:14.581182
21,620,261,google/gemma-4-26b-a4b-it:free,2026-08-06T09:29:40.289619
22,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:30:13.775793
23,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:31:05.574640
24,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:31:23.755629
25,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:31:48.159994
26,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:32:11.181793
27,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:33:38.605532
28,620,259,google/gemma-4-26b-a4b-it:free,2026-08-06T09:33:58.024395
29,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:34:30.250727
30,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:34:59.751829
31,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:35:13.553029
32,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T09:35:47.344463
33,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:36:00.724358
34,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:36:26.639479
35,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:36:51.726067
36,620,259,google/gemma-4-26b-a4b-it:free,2026-08-06T09:37:06.159397
37,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:37:24.496869
38,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:37:39.356289
39,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:38:19.458495
40,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:38:32.754787
41,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:38:49.517745
42,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:39:12.836909
43,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:39:28.047338
44,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:39:42.055299
45,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:40:01.839913
46,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:40:29.734036
47,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:40:46.547421
48,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:41:07.332180
49,620,259,google/gemma-4-26b-a4b-it:free,2026-08-06T09:41:26.368664
50,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:41:39.459948
51,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T09:42:10.723533
52,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:42:26.295269
53,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T09:42:43.532461
54,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:43:01.300604
55,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:43:15.700656
56,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T09:43:30.768766
57,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:43:57.562553
58,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:44:10.928574
59,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:44:22.372859
60,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:44:44.353801
61,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:45:06.215757
62,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:45:20.861488
63,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:45:31.782667
64,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:45:46.467423
65,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:47:44.908753
66,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:48:07.478058
67,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:48:25.592277
68,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:48:42.805876
69,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:49:00.641509
70,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:49:18.322540
71,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:49:30.320143
72,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:49:55.018073
73,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:50:11.303421
74,620,259,google/gemma-4-26b-a4b-it:free,2026-08-06T09:50:29.094491
75,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:50:39.495726
76,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:50:55.768336
77,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:51:09.695352
78,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:51:49.303756
79,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:52:37.095459
80,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:52:56.116871
81,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:53:12.930283
82,620,261,google/gemma-4-26b-a4b-it:free,2026-08-06T09:53:27.754975
83,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:53:56.765611
84,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:54:17.862763
85,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:54:36.678037
86,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:54:51.721711
87,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:55:07.146430
88,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:55:21.286319
89,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:55:49.232076
90,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:56:02.396954
91,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T09:56:26.217188
92,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T09:56:41.238583
93,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:57:07.174859
94,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T09:57:26.562125
95,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:57:51.591923
96,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:58:09.492407
97,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:58:20.859420
98,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:58:33.017671
99,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T09:58:44.063979
100,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:58:58.026724
101,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:59:19.434547
102,620,254,google/gemma-4-26b-a4b-it:free,2026-08-06T09:59:34.125057
103,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T09:59:48.933134
104,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T10:00:23.246982
105,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T10:00:40.761355
106,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:01:37.972368
107,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T10:01:59.825631
108,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T10:02:30.946870
109,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T10:02:46.303045
110,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:03:04.185857
111,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T10:03:48.949551
112,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:04:01.658274
113,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T10:04:14.946747
114,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T10:04:34.808691
115,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:04:53.648579
116,620,260,google/gemma-4-26b-a4b-it:free,2026-08-06T10:05:14.642730
117,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T10:05:56.431804
118,620,261,google/gemma-4-26b-a4b-it:free,2026-08-06T10:06:22.382136
119,620,258,google/gemma-4-26b-a4b-it:free,2026-08-06T10:06:56.123449
120,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:07:23.336223
121,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:08:05.906548
122,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T10:08:24.729714
123,620,255,google/gemma-4-26b-a4b-it:free,2026-08-06T10:08:44.591367
124,620,257,google/gemma-4-26b-a4b-it:free,2026-08-06T10:09:55.681134
125,620,262,google/gemma-4-26b-a4b-it:free,2026-08-06T10:10:12.784933
126,620,256,google/gemma-4-26b-a4b-it:free,2026-08-06T10:10:31.882998
