stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:27:56.625054
24,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T16:28:10.868893
31,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:28:32.296747
40,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:28:53.456496
55,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:29:35.222905
60,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:30:02.382824
64,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:30:27.496729
67,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T16:30:50.298454
68,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T16:31:08.342285
71,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T16:31:30.422829
77,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:31:55.297255
89,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:32:09.573993
97,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:32:20.421501
102,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T16:32:35.412441
108,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T16:33:16.113742
159,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T16:33:31.621427
175,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:33:51.561074
185,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T16:34:10.943588
200,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T16:34:26.088226
210,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T16:34:48.590263
214,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:35:12.356979
219,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:35:26.877261
238,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:35:42.936293
245,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:35:55.875261
248,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T16:36:37.229623
260,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T16:36:57.644169
278,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:37:50.930446
282,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T16:38:07.200593
287,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:38:29.608387
295,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T16:39:03.014314
297,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T16:39:15.853681
299,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:39:35.588325
313,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T16:39:57.498688
315,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:40:16.716050
322,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T16:40:34.207795
332,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:41:27.371652
333,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:41:45.122463
352,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T16:42:12.805179
366,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:42:29.751610
372,620,258,google/gemma-4-26b-a4b-it:free,2026-08-03T16:42:57.023758
378,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:43:11.305590
381,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:43:26.955400
382,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:43:51.866969
389,620,262,google/gemma-4-26b-a4b-it:free,2026-08-03T16:44:10.400893
421,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:44:55.405563
424,620,254,google/gemma-4-26b-a4b-it:free,2026-08-03T16:45:10.941207
430,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:45:35.675310
446,620,260,google/gemma-4-26b-a4b-it:free,2026-08-03T16:45:50.284174
454,620,261,google/gemma-4-26b-a4b-it:free,2026-08-03T16:46:16.405832
457,620,261,google/gemma-4-26b-a4b-it:free,2026-08-03T16:46:39.611596
483,620,257,google/gemma-4-26b-a4b-it:free,2026-08-03T16:46:52.231371
496,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:47:04.272172
501,620,259,google/gemma-4-26b-a4b-it:free,2026-08-03T16:47:28.836415
515,620,255,google/gemma-4-26b-a4b-it:free,2026-08-03T16:48:05.352752
520,620,256,google/gemma-4-26b-a4b-it:free,2026-08-03T16:48:17.374131
