stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:49:06.808374
2,1737,314,mistralai/ministral-3b-2512,2026-08-08T07:49:16.734898
4,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:49:31.613477
6,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:49:42.599999
7,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:49:48.398267
8,1737,305,mistralai/ministral-3b-2512,2026-08-08T07:49:54.408954
9,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:50:00.627635
10,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:50:06.693180
11,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:50:13.253166
12,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:50:19.200205
13,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:50:25.440367
14,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:50:31.362452
15,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:50:37.739629
16,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:50:44.249863
17,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:50:50.524205
18,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:50:57.529847
19,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:51:04.702576
20,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:51:11.019066
21,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:51:17.445877
22,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:51:24.285674
23,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:51:30.978803
24,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:51:37.678237
25,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:51:44.333991
27,1737,309,mistralai/ministral-3b-2512,2026-08-08T07:51:55.120250
28,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:52:01.162914
29,1737,314,mistralai/ministral-3b-2512,2026-08-08T07:52:07.423802
30,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:52:13.514319
31,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:52:19.857021
32,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:52:26.084074
34,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:52:37.695873
35,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:52:44.095019
37,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:52:55.580766
38,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:53:03.330043
39,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:53:09.419411
40,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:53:15.842635
41,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:53:22.118171
42,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:53:28.544017
43,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:53:35.180908
44,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:53:41.537069
45,1737,307,mistralai/ministral-3b-2512,2026-08-08T07:53:47.746527
46,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:53:54.377593
47,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:54:00.669232
48,1737,304,mistralai/ministral-3b-2512,2026-08-08T07:54:07.439449
49,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:54:13.751833
50,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:54:19.881663
51,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:54:26.275278
52,1737,314,mistralai/ministral-3b-2512,2026-08-08T07:54:32.555544
53,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:54:38.715887
54,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:54:44.938245
55,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:54:51.045253
56,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:54:57.456852
57,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:55:03.568322
58,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:55:09.672848
61,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:55:25.964316
62,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:55:32.160814
63,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:55:38.374988
64,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:55:44.670141
66,1737,314,mistralai/ministral-3b-2512,2026-08-08T07:55:56.282727
67,1737,314,mistralai/ministral-3b-2512,2026-08-08T07:56:02.375793
68,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:56:09.014539
69,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:56:15.415234
70,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:56:21.863157
71,1737,311,mistralai/ministral-3b-2512,2026-08-08T07:56:28.323824
74,1737,310,mistralai/ministral-3b-2512,2026-08-08T07:56:44.967667
75,1737,314,mistralai/ministral-3b-2512,2026-08-08T07:56:51.577743
76,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:56:57.706063
77,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:57:03.852156
78,1737,313,mistralai/ministral-3b-2512,2026-08-08T07:57:10.046712
79,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:57:16.213250
80,1737,308,mistralai/ministral-3b-2512,2026-08-08T07:57:22.631067
81,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:57:28.925291
82,1737,315,mistralai/ministral-3b-2512,2026-08-08T07:57:35.434336
83,1737,312,mistralai/ministral-3b-2512,2026-08-08T07:57:41.705145
84,1737,307,mistralai/ministral-3b-2512,2026-08-08T07:57:47.915831
