stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1737,310,mistralai/ministral-3b-2512,2026-08-03T17:26:16.638052
24,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:26:25.322172
31,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:26:32.766580
40,1737,309,mistralai/ministral-3b-2512,2026-08-03T17:26:39.913949
60,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:26:54.392783
64,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:27:01.300560
67,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:27:08.568737
68,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:27:15.623572
71,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:27:22.660034
77,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:27:29.712430
97,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:27:42.373453
102,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:27:49.504937
108,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:27:56.966526
159,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:28:03.933466
175,1737,313,mistralai/ministral-3b-2512,2026-08-03T17:28:10.528058
185,1737,313,mistralai/ministral-3b-2512,2026-08-03T17:28:17.517657
200,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:28:23.766640
210,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:28:30.137950
219,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:28:45.662630
238,1737,314,mistralai/ministral-3b-2512,2026-08-03T17:28:52.459703
245,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:28:59.000549
248,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:29:05.169056
278,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:29:17.620624
282,1737,307,mistralai/ministral-3b-2512,2026-08-03T17:29:23.665516
287,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:29:30.414617
295,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:29:36.413362
297,1737,310,mistralai/ministral-3b-2512,2026-08-03T17:29:43.401540
299,1737,314,mistralai/ministral-3b-2512,2026-08-03T17:29:49.543709
315,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:30:01.213265
322,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:30:07.740176
332,1737,313,mistralai/ministral-3b-2512,2026-08-03T17:30:14.749327
333,1737,309,mistralai/ministral-3b-2512,2026-08-03T17:30:20.962308
352,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:30:27.145300
366,1737,314,mistralai/ministral-3b-2512,2026-08-03T17:30:33.498847
372,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:30:40.183979
378,1737,309,mistralai/ministral-3b-2512,2026-08-03T17:30:46.229659
381,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:30:52.926024
382,1737,315,mistralai/ministral-3b-2512,2026-08-03T17:30:58.995001
389,1737,310,mistralai/ministral-3b-2512,2026-08-03T17:31:04.911686
421,1737,309,mistralai/ministral-3b-2512,2026-08-03T17:31:12.285467
424,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:31:18.376456
430,1737,310,mistralai/ministral-3b-2512,2026-08-03T17:31:24.466020
446,1737,307,mistralai/ministral-3b-2512,2026-08-03T17:31:31.026556
454,1737,309,mistralai/ministral-3b-2512,2026-08-03T17:31:36.996998
55,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:52:20.071583
89,1737,309,mistralai/ministral-3b-2512,2026-08-03T17:52:28.760907
214,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:52:38.493458
260,1737,310,mistralai/ministral-3b-2512,2026-08-03T17:52:45.615136
313,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:52:52.306279
457,1737,308,mistralai/ministral-3b-2512,2026-08-03T17:53:00.383665
483,1737,311,mistralai/ministral-3b-2512,2026-08-03T17:53:07.537192
496,1737,310,mistralai/ministral-3b-2512,2026-08-03T17:53:16.528943
501,1737,312,mistralai/ministral-3b-2512,2026-08-03T17:53:23.269367
