stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
24,1737,309,mistralai/ministral-3b-2512,2026-08-03T05:43:47.948456
31,1737,315,mistralai/ministral-3b-2512,2026-08-03T05:43:56.308210
40,1737,307,mistralai/ministral-3b-2512,2026-08-03T05:44:01.411991
55,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:44:06.737018
60,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:44:12.247769
64,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:44:18.249852
67,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:44:23.495250
68,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:44:29.020643
71,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:44:35.446156
77,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:44:40.744056
89,1737,309,mistralai/ministral-3b-2512,2026-08-03T05:44:45.998861
102,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:44:56.332331
108,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:45:01.490658
159,1737,315,mistralai/ministral-3b-2512,2026-08-03T05:45:07.558421
175,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:45:13.064578
185,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:45:18.968092
200,1737,314,mistralai/ministral-3b-2512,2026-08-03T05:45:25.169181
210,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:45:31.066426
219,1737,310,mistralai/ministral-3b-2512,2026-08-03T05:45:40.407386
238,1737,314,mistralai/ministral-3b-2512,2026-08-03T05:45:46.799156
245,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:45:51.978572
248,1737,311,mistralai/ministral-3b-2512,2026-08-03T05:45:59.104261
260,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:46:05.979724
278,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:46:12.428613
282,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:46:25.214575
287,1737,314,mistralai/ministral-3b-2512,2026-08-03T05:46:31.102458
295,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:46:37.354161
297,1737,310,mistralai/ministral-3b-2512,2026-08-03T05:46:43.154533
299,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:46:48.878117
313,1737,315,mistralai/ministral-3b-2512,2026-08-03T05:47:00.467363
315,1737,308,mistralai/ministral-3b-2512,2026-08-03T05:47:11.982651
322,1737,310,mistralai/ministral-3b-2512,2026-08-03T05:47:19.951117
332,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:47:25.682935
333,1737,308,mistralai/ministral-3b-2512,2026-08-03T05:47:31.378714
352,1737,315,mistralai/ministral-3b-2512,2026-08-03T05:47:37.300505
366,1737,314,mistralai/ministral-3b-2512,2026-08-03T05:47:43.971723
372,1737,314,mistralai/ministral-3b-2512,2026-08-03T05:47:53.378179
378,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:48:05.614930
381,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:48:13.535081
382,1737,315,mistralai/ministral-3b-2512,2026-08-03T05:48:18.855158
389,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:48:24.541107
421,1737,315,mistralai/ministral-3b-2512,2026-08-03T05:48:29.793970
424,1737,309,mistralai/ministral-3b-2512,2026-08-03T05:48:35.000386
430,1737,313,mistralai/ministral-3b-2512,2026-08-03T05:48:41.165949
446,1737,307,mistralai/ministral-3b-2512,2026-08-03T05:48:46.339184
454,1737,310,mistralai/ministral-3b-2512,2026-08-03T05:48:51.513808
457,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:48:58.504931
483,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:49:04.644553
496,1737,310,mistralai/ministral-3b-2512,2026-08-03T05:49:09.702612
501,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:49:14.852752
515,1737,312,mistralai/ministral-3b-2512,2026-08-03T05:49:20.809214
