stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1737,306,mistralai/mistral-large-2512,2026-08-03T05:00:37.650246
24,1737,306,mistralai/mistral-large-2512,2026-08-03T05:00:50.508852
31,1737,305,mistralai/mistral-large-2512,2026-08-03T05:01:00.204967
40,1737,306,mistralai/mistral-large-2512,2026-08-03T05:01:09.713962
55,1737,305,mistralai/mistral-large-2512,2026-08-03T05:01:21.632199
60,1737,307,mistralai/mistral-large-2512,2026-08-03T05:01:31.591965
64,1737,310,mistralai/mistral-large-2512,2026-08-03T05:01:41.138887
67,1737,308,mistralai/mistral-large-2512,2026-08-03T05:01:52.124736
68,1737,306,mistralai/mistral-large-2512,2026-08-03T05:02:02.420716
71,1737,310,mistralai/mistral-large-2512,2026-08-03T05:02:12.384542
77,1737,306,mistralai/mistral-large-2512,2026-08-03T05:02:23.150900
89,1737,306,mistralai/mistral-large-2512,2026-08-03T05:02:32.885320
97,1737,306,mistralai/mistral-large-2512,2026-08-03T05:02:43.989457
102,1737,305,mistralai/mistral-large-2512,2026-08-03T05:02:53.431304
108,1737,307,mistralai/mistral-large-2512,2026-08-03T05:03:03.685676
159,1737,308,mistralai/mistral-large-2512,2026-08-03T05:03:13.300052
175,1737,305,mistralai/mistral-large-2512,2026-08-03T05:03:24.254048
185,1737,306,mistralai/mistral-large-2512,2026-08-03T05:03:35.193351
200,1737,310,mistralai/mistral-large-2512,2026-08-03T05:03:44.801673
210,1737,308,mistralai/mistral-large-2512,2026-08-03T05:03:54.463905
214,1737,305,mistralai/mistral-large-2512,2026-08-03T05:04:05.189377
219,1737,310,mistralai/mistral-large-2512,2026-08-03T05:04:15.166797
238,1737,306,mistralai/mistral-large-2512,2026-08-03T05:04:24.534397
245,1737,305,mistralai/mistral-large-2512,2026-08-03T05:04:34.242794
248,1737,311,mistralai/mistral-large-2512,2026-08-03T05:04:44.112473
260,1737,308,mistralai/mistral-large-2512,2026-08-03T05:04:54.068444
278,1737,305,mistralai/mistral-large-2512,2026-08-03T05:05:03.662166
282,1737,311,mistralai/mistral-large-2512,2026-08-03T05:05:13.457788
287,1737,307,mistralai/mistral-large-2512,2026-08-03T05:05:23.514302
295,1737,306,mistralai/mistral-large-2512,2026-08-03T05:05:34.488598
297,1737,306,mistralai/mistral-large-2512,2026-08-03T05:05:44.913655
299,1737,311,mistralai/mistral-large-2512,2026-08-03T05:05:55.308353
313,1737,307,mistralai/mistral-large-2512,2026-08-03T05:06:04.835573
315,1737,312,mistralai/mistral-large-2512,2026-08-03T05:06:14.768512
322,1737,310,mistralai/mistral-large-2512,2026-08-03T05:06:24.692483
332,1737,305,mistralai/mistral-large-2512,2026-08-03T05:06:33.945325
333,1737,307,mistralai/mistral-large-2512,2026-08-03T05:06:44.177419
352,1737,305,mistralai/mistral-large-2512,2026-08-03T05:06:54.207125
366,1737,309,mistralai/mistral-large-2512,2026-08-03T05:07:03.762129
372,1737,306,mistralai/mistral-large-2512,2026-08-03T05:07:13.786338
378,1737,305,mistralai/mistral-large-2512,2026-08-03T05:07:23.135481
381,1737,305,mistralai/mistral-large-2512,2026-08-03T05:07:32.570934
382,1737,306,mistralai/mistral-large-2512,2026-08-03T05:07:41.810039
389,1737,307,mistralai/mistral-large-2512,2026-08-03T05:07:52.202112
421,1737,309,mistralai/mistral-large-2512,2026-08-03T05:08:04.568303
424,1737,304,mistralai/mistral-large-2512,2026-08-03T05:08:14.251626
430,1737,305,mistralai/mistral-large-2512,2026-08-03T05:08:24.199577
446,1737,310,mistralai/mistral-large-2512,2026-08-03T05:08:33.947838
454,1737,305,mistralai/mistral-large-2512,2026-08-03T05:08:43.117396
457,1737,305,mistralai/mistral-large-2512,2026-08-03T05:08:53.405024
483,1737,306,mistralai/mistral-large-2512,2026-08-03T05:09:02.538833
496,1737,306,mistralai/mistral-large-2512,2026-08-03T05:09:11.929285
501,1737,304,mistralai/mistral-large-2512,2026-08-03T05:09:21.637572
515,1737,305,mistralai/mistral-large-2512,2026-08-03T05:09:34.335280
520,1737,306,mistralai/mistral-large-2512,2026-08-03T05:09:44.169116
527,1737,308,mistralai/mistral-large-2512,2026-08-03T05:09:54.937418
530,1737,306,mistralai/mistral-large-2512,2026-08-03T05:10:05.110972
552,1737,306,mistralai/mistral-large-2512,2026-08-03T05:10:15.427773
559,1737,306,mistralai/mistral-large-2512,2026-08-03T05:10:24.648773
594,1737,308,mistralai/mistral-large-2512,2026-08-03T05:10:34.258826
599,1737,315,mistralai/mistral-large-2512,2026-08-03T05:10:44.528535
606,1737,309,mistralai/mistral-large-2512,2026-08-03T05:10:54.502320
