stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,1737,305,mistralai/mistral-large-2512,2026-08-08T00:18:03.573519
2,1737,306,mistralai/mistral-large-2512,2026-08-08T00:18:15.739767
3,1737,306,mistralai/mistral-large-2512,2026-08-08T00:18:30.903808
4,1737,304,mistralai/mistral-large-2512,2026-08-08T00:18:42.604852
5,1737,306,mistralai/mistral-large-2512,2026-08-08T00:18:53.669952
6,1737,307,mistralai/mistral-large-2512,2026-08-08T00:19:03.826124
7,1737,307,mistralai/mistral-large-2512,2026-08-08T00:19:15.182418
8,1737,305,mistralai/mistral-large-2512,2026-08-08T00:19:25.205868
9,1737,305,mistralai/mistral-large-2512,2026-08-08T00:19:36.184642
10,1737,312,mistralai/mistral-large-2512,2026-08-08T00:19:46.369294
11,1737,307,mistralai/mistral-large-2512,2026-08-08T00:19:57.013564
12,1737,305,mistralai/mistral-large-2512,2026-08-08T00:20:09.112663
13,1737,308,mistralai/mistral-large-2512,2026-08-08T00:20:20.581497
14,1737,306,mistralai/mistral-large-2512,2026-08-08T00:20:31.360992
15,1737,306,mistralai/mistral-large-2512,2026-08-08T00:20:44.491692
16,1737,306,mistralai/mistral-large-2512,2026-08-08T00:20:58.685463
17,1737,307,mistralai/mistral-large-2512,2026-08-08T00:21:09.973869
18,1737,310,mistralai/mistral-large-2512,2026-08-08T00:21:20.050489
19,1737,305,mistralai/mistral-large-2512,2026-08-08T00:21:32.947018
20,1737,305,mistralai/mistral-large-2512,2026-08-08T00:21:42.944078
21,1737,308,mistralai/mistral-large-2512,2026-08-08T00:21:53.010027
22,1737,305,mistralai/mistral-large-2512,2026-08-08T00:22:02.931601
23,1737,310,mistralai/mistral-large-2512,2026-08-08T00:22:14.894470
24,1737,304,mistralai/mistral-large-2512,2026-08-08T00:22:25.416064
25,1737,306,mistralai/mistral-large-2512,2026-08-08T00:22:37.057105
26,1737,311,mistralai/mistral-large-2512,2026-08-08T00:22:47.165538
27,1737,308,mistralai/mistral-large-2512,2026-08-08T00:22:56.903663
28,1737,308,mistralai/mistral-large-2512,2026-08-08T00:23:07.278722
29,1737,307,mistralai/mistral-large-2512,2026-08-08T00:23:17.008475
30,1737,308,mistralai/mistral-large-2512,2026-08-08T00:23:28.012897
31,1737,308,mistralai/mistral-large-2512,2026-08-08T00:23:37.607884
32,1737,310,mistralai/mistral-large-2512,2026-08-08T00:23:48.222418
33,1737,307,mistralai/mistral-large-2512,2026-08-08T00:23:58.784062
34,1737,306,mistralai/mistral-large-2512,2026-08-08T00:24:08.920222
35,1737,307,mistralai/mistral-large-2512,2026-08-08T00:24:20.586902
36,1737,307,mistralai/mistral-large-2512,2026-08-08T00:24:32.002663
37,1737,307,mistralai/mistral-large-2512,2026-08-08T00:24:43.557821
38,1737,305,mistralai/mistral-large-2512,2026-08-08T00:24:53.265990
39,1737,306,mistralai/mistral-large-2512,2026-08-08T00:25:05.069770
40,1737,306,mistralai/mistral-large-2512,2026-08-08T00:25:14.739873
41,1737,312,mistralai/mistral-large-2512,2026-08-08T00:25:24.790316
42,1737,304,mistralai/mistral-large-2512,2026-08-08T00:25:36.077308
43,1737,306,mistralai/mistral-large-2512,2026-08-08T00:25:47.121162
44,1737,311,mistralai/mistral-large-2512,2026-08-08T00:25:56.937347
45,1737,305,mistralai/mistral-large-2512,2026-08-08T00:26:07.828733
46,1737,309,mistralai/mistral-large-2512,2026-08-08T00:26:19.993572
47,1737,307,mistralai/mistral-large-2512,2026-08-08T00:26:30.412583
48,1737,306,mistralai/mistral-large-2512,2026-08-08T00:26:42.431242
49,1737,308,mistralai/mistral-large-2512,2026-08-08T00:26:55.148435
50,1737,306,mistralai/mistral-large-2512,2026-08-08T00:27:06.606893
51,1737,311,mistralai/mistral-large-2512,2026-08-08T00:27:16.767380
52,1737,307,mistralai/mistral-large-2512,2026-08-08T00:27:28.777765
53,1737,312,mistralai/mistral-large-2512,2026-08-08T00:27:40.848271
54,1737,308,mistralai/mistral-large-2512,2026-08-08T00:27:50.937221
55,1737,305,mistralai/mistral-large-2512,2026-08-08T00:28:02.378933
56,1737,306,mistralai/mistral-large-2512,2026-08-08T00:28:13.518621
57,1737,307,mistralai/mistral-large-2512,2026-08-08T00:28:24.633696
58,1737,305,mistralai/mistral-large-2512,2026-08-08T00:28:34.566131
59,1737,305,mistralai/mistral-large-2512,2026-08-08T00:28:45.714230
60,1737,307,mistralai/mistral-large-2512,2026-08-08T00:28:56.361936
61,1737,311,mistralai/mistral-large-2512,2026-08-08T00:29:07.868321
62,1737,309,mistralai/mistral-large-2512,2026-08-08T00:29:21.660424
63,1737,306,mistralai/mistral-large-2512,2026-08-08T00:29:31.552705
64,1737,306,mistralai/mistral-large-2512,2026-08-08T00:29:41.861701
65,1737,305,mistralai/mistral-large-2512,2026-08-08T00:29:53.013287
66,1737,305,mistralai/mistral-large-2512,2026-08-08T00:30:04.534365
67,1737,309,mistralai/mistral-large-2512,2026-08-08T00:30:17.607648
68,1737,306,mistralai/mistral-large-2512,2026-08-08T00:30:28.747002
69,1737,307,mistralai/mistral-large-2512,2026-08-08T00:30:39.365445
70,1737,309,mistralai/mistral-large-2512,2026-08-08T00:30:51.306919
71,1737,310,mistralai/mistral-large-2512,2026-08-08T00:31:02.463434
72,1737,306,mistralai/mistral-large-2512,2026-08-08T00:31:14.449958
73,1737,305,mistralai/mistral-large-2512,2026-08-08T00:31:25.398824
74,1737,307,mistralai/mistral-large-2512,2026-08-08T00:31:37.242386
75,1737,308,mistralai/mistral-large-2512,2026-08-08T00:31:48.643207
76,1737,308,mistralai/mistral-large-2512,2026-08-08T00:32:00.555974
77,1737,305,mistralai/mistral-large-2512,2026-08-08T00:32:12.055948
78,1737,305,mistralai/mistral-large-2512,2026-08-08T00:32:22.291132
79,1737,304,mistralai/mistral-large-2512,2026-08-08T00:32:33.759590
80,1737,306,mistralai/mistral-large-2512,2026-08-08T00:32:45.449239
81,1737,306,mistralai/mistral-large-2512,2026-08-08T00:32:56.940433
82,1737,306,mistralai/mistral-large-2512,2026-08-08T00:33:08.652476
83,1737,304,mistralai/mistral-large-2512,2026-08-08T00:33:19.875991
84,1737,307,mistralai/mistral-large-2512,2026-08-08T00:33:31.037277
85,1737,306,mistralai/mistral-large-2512,2026-08-08T00:33:42.521291
86,1737,306,mistralai/mistral-large-2512,2026-08-08T00:33:54.190325
87,1737,306,mistralai/mistral-large-2512,2026-08-08T00:34:05.014011
88,1737,307,mistralai/mistral-large-2512,2026-08-08T00:34:16.877385
89,1737,306,mistralai/mistral-large-2512,2026-08-08T00:34:28.685833
90,1737,307,mistralai/mistral-large-2512,2026-08-08T00:34:39.153941
91,1737,305,mistralai/mistral-large-2512,2026-08-08T00:34:55.344188
92,1737,307,mistralai/mistral-large-2512,2026-08-08T00:35:06.333756
93,1737,305,mistralai/mistral-large-2512,2026-08-08T00:35:17.725629
94,1737,306,mistralai/mistral-large-2512,2026-08-08T00:35:28.084651
95,1737,304,mistralai/mistral-large-2512,2026-08-08T00:35:39.219287
96,1737,305,mistralai/mistral-large-2512,2026-08-08T00:35:49.699274
97,1737,305,mistralai/mistral-large-2512,2026-08-08T00:36:01.316512
98,1737,306,mistralai/mistral-large-2512,2026-08-08T00:36:11.858214
99,1737,307,mistralai/mistral-large-2512,2026-08-08T00:36:23.738538
100,1737,312,mistralai/mistral-large-2512,2026-08-08T00:36:35.812625
101,1737,305,mistralai/mistral-large-2512,2026-08-08T00:36:46.743550
102,1737,305,mistralai/mistral-large-2512,2026-08-08T00:36:57.574734
103,1737,306,mistralai/mistral-large-2512,2026-08-08T00:37:10.073230
104,1737,306,mistralai/mistral-large-2512,2026-08-08T00:37:21.208306
105,1737,308,mistralai/mistral-large-2512,2026-08-08T00:37:32.653690
106,1737,306,mistralai/mistral-large-2512,2026-08-08T00:37:44.017552
107,1737,304,mistralai/mistral-large-2512,2026-08-08T00:37:54.956918
108,1737,307,mistralai/mistral-large-2512,2026-08-08T00:38:06.459452
109,1737,310,mistralai/mistral-large-2512,2026-08-08T00:38:18.499650
110,1737,312,mistralai/mistral-large-2512,2026-08-08T00:38:28.534468
111,1737,307,mistralai/mistral-large-2512,2026-08-08T00:38:39.955909
112,1737,306,mistralai/mistral-large-2512,2026-08-08T00:38:50.009911
113,1737,307,mistralai/mistral-large-2512,2026-08-08T00:39:00.073004
114,1737,310,mistralai/mistral-large-2512,2026-08-08T00:39:09.988971
115,1737,307,mistralai/mistral-large-2512,2026-08-08T00:39:21.455042
116,1737,311,mistralai/mistral-large-2512,2026-08-08T00:39:31.532909
117,1737,306,mistralai/mistral-large-2512,2026-08-08T00:39:45.002104
118,1737,307,mistralai/mistral-large-2512,2026-08-08T00:39:54.801189
119,1737,307,mistralai/mistral-large-2512,2026-08-08T00:40:04.949343
120,1737,304,mistralai/mistral-large-2512,2026-08-08T00:40:16.553765
121,1737,305,mistralai/mistral-large-2512,2026-08-08T00:40:29.935841
122,1737,307,mistralai/mistral-large-2512,2026-08-08T00:40:41.618461
123,1737,306,mistralai/mistral-large-2512,2026-08-08T00:40:54.080505
124,1737,308,mistralai/mistral-large-2512,2026-08-08T00:41:06.081120
125,1737,308,mistralai/mistral-large-2512,2026-08-08T00:41:18.445574
126,1737,310,mistralai/mistral-large-2512,2026-08-08T00:41:29.359322
127,1737,306,mistralai/mistral-large-2512,2026-08-08T00:41:40.282654
128,1737,306,mistralai/mistral-large-2512,2026-08-08T00:41:50.964873
129,1737,311,mistralai/mistral-large-2512,2026-08-08T00:42:01.301787
130,1737,309,mistralai/mistral-large-2512,2026-08-08T00:42:13.031398
131,1737,306,mistralai/mistral-large-2512,2026-08-08T00:42:24.887146
132,1737,307,mistralai/mistral-large-2512,2026-08-08T00:42:36.858714
133,1737,305,mistralai/mistral-large-2512,2026-08-08T00:42:47.994204
134,1737,307,mistralai/mistral-large-2512,2026-08-08T00:42:59.896749
135,1737,305,mistralai/mistral-large-2512,2026-08-08T00:43:10.511715
136,1737,306,mistralai/mistral-large-2512,2026-08-08T00:43:21.193612
137,1737,306,mistralai/mistral-large-2512,2026-08-08T00:43:31.672292
138,1737,304,mistralai/mistral-large-2512,2026-08-08T00:43:41.909292
139,1737,306,mistralai/mistral-large-2512,2026-08-08T00:43:52.082685
140,1737,307,mistralai/mistral-large-2512,2026-08-08T00:44:01.838106
141,1737,307,mistralai/mistral-large-2512,2026-08-08T00:44:11.560610
142,1737,306,mistralai/mistral-large-2512,2026-08-08T00:44:22.400514
143,1737,305,mistralai/mistral-large-2512,2026-08-08T00:44:33.674557
144,1737,307,mistralai/mistral-large-2512,2026-08-08T00:44:45.412528
145,1737,305,mistralai/mistral-large-2512,2026-08-08T00:44:56.146323
146,1737,307,mistralai/mistral-large-2512,2026-08-08T00:45:07.398318
147,1737,306,mistralai/mistral-large-2512,2026-08-08T00:45:18.211921
148,1737,308,mistralai/mistral-large-2512,2026-08-08T00:45:29.178866
149,1737,311,mistralai/mistral-large-2512,2026-08-08T00:45:41.172546
150,1737,310,mistralai/mistral-large-2512,2026-08-08T00:45:51.603881
151,1737,307,mistralai/mistral-large-2512,2026-08-08T00:46:02.704423
