stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,25808,165,openai/gpt-4o-mini,2026-08-08T05:22:39.807440
2,25808,165,openai/gpt-4o-mini,2026-08-08T05:22:48.717157
3,25808,200,openai/gpt-4o-mini,2026-08-08T05:22:58.292245
4,25808,166,openai/gpt-4o-mini,2026-08-08T05:23:07.516487
5,25808,232,openai/gpt-4o-mini,2026-08-08T05:23:14.880411
6,25808,232,openai/gpt-4o-mini,2026-08-08T05:23:22.276890
7,25808,232,openai/gpt-4o-mini,2026-08-08T05:23:29.284396
8,25808,165,openai/gpt-4o-mini,2026-08-08T05:23:35.960990
9,25808,200,openai/gpt-4o-mini,2026-08-08T05:23:46.697996
10,25808,199,openai/gpt-4o-mini,2026-08-08T05:23:55.163076
11,25808,232,openai/gpt-4o-mini,2026-08-08T05:24:02.579510
12,25808,233,openai/gpt-4o-mini,2026-08-08T05:24:12.525098
13,25808,233,openai/gpt-4o-mini,2026-08-08T05:24:23.834607
14,25808,232,openai/gpt-4o-mini,2026-08-08T05:24:31.512714
15,25808,165,openai/gpt-4o-mini,2026-08-08T05:24:39.058044
16,25808,233,openai/gpt-4o-mini,2026-08-08T05:24:49.607579
17,25808,165,openai/gpt-4o-mini,2026-08-08T05:24:56.299681
18,25808,232,openai/gpt-4o-mini,2026-08-08T05:25:03.649907
19,25808,199,openai/gpt-4o-mini,2026-08-08T05:25:10.174409
20,25808,165,openai/gpt-4o-mini,2026-08-08T05:25:17.162042
21,25808,165,openai/gpt-4o-mini,2026-08-08T05:25:23.996419
22,25808,232,openai/gpt-4o-mini,2026-08-08T05:25:31.013605
23,25808,233,openai/gpt-4o-mini,2026-08-08T05:25:41.566279
24,25808,232,openai/gpt-4o-mini,2026-08-08T05:25:49.165583
25,25808,233,openai/gpt-4o-mini,2026-08-08T05:25:59.249088
26,25808,166,openai/gpt-4o-mini,2026-08-08T05:26:08.370954
27,25808,232,openai/gpt-4o-mini,2026-08-08T05:26:15.342146
28,25808,166,openai/gpt-4o-mini,2026-08-08T05:26:24.527086
29,25808,232,openai/gpt-4o-mini,2026-08-08T05:26:31.482966
30,25808,199,openai/gpt-4o-mini,2026-08-08T05:26:38.219392
31,25808,199,openai/gpt-4o-mini,2026-08-08T05:26:45.234102
32,25808,166,openai/gpt-4o-mini,2026-08-08T05:26:53.432232
33,25808,166,openai/gpt-4o-mini,2026-08-08T05:27:02.049267
34,25808,232,openai/gpt-4o-mini,2026-08-08T05:27:09.736581
35,25808,232,openai/gpt-4o-mini,2026-08-08T05:27:16.637542
36,25808,200,openai/gpt-4o-mini,2026-08-08T05:27:25.939820
37,25808,199,openai/gpt-4o-mini,2026-08-08T05:27:32.554356
38,25808,165,openai/gpt-4o-mini,2026-08-08T05:27:39.148925
39,25808,232,openai/gpt-4o-mini,2026-08-08T05:27:46.080483
40,25808,233,openai/gpt-4o-mini,2026-08-08T05:27:55.682147
41,25808,199,openai/gpt-4o-mini,2026-08-08T05:28:02.395122
42,25808,166,openai/gpt-4o-mini,2026-08-08T05:28:11.021573
43,25808,165,openai/gpt-4o-mini,2026-08-08T05:28:18.038503
44,25808,165,openai/gpt-4o-mini,2026-08-08T05:28:24.741558
45,25808,200,openai/gpt-4o-mini,2026-08-08T05:28:34.458309
46,25808,232,openai/gpt-4o-mini,2026-08-08T05:28:42.150785
47,25808,165,openai/gpt-4o-mini,2026-08-08T05:28:48.488708
48,25808,233,openai/gpt-4o-mini,2026-08-08T05:28:58.334191
49,25808,165,openai/gpt-4o-mini,2026-08-08T05:29:04.734079
50,25808,166,openai/gpt-4o-mini,2026-08-08T05:29:13.548882
51,25808,166,openai/gpt-4o-mini,2026-08-08T05:29:22.414831
52,25808,165,openai/gpt-4o-mini,2026-08-08T05:29:31.225940
53,25808,233,openai/gpt-4o-mini,2026-08-08T05:29:42.152292
54,25808,165,openai/gpt-4o-mini,2026-08-08T05:29:48.671894
55,25808,232,openai/gpt-4o-mini,2026-08-08T05:29:55.926208
56,25808,200,openai/gpt-4o-mini,2026-08-08T05:30:06.034411
57,25808,166,openai/gpt-4o-mini,2026-08-08T05:30:15.697514
58,25808,199,openai/gpt-4o-mini,2026-08-08T05:30:23.018336
59,25808,233,openai/gpt-4o-mini,2026-08-08T05:30:37.686520
60,25808,232,openai/gpt-4o-mini,2026-08-08T05:30:45.940514
61,25808,165,openai/gpt-4o-mini,2026-08-08T05:30:53.097748
62,25808,166,openai/gpt-4o-mini,2026-08-08T05:31:02.654835
63,25808,165,openai/gpt-4o-mini,2026-08-08T05:31:09.628572
64,25808,233,openai/gpt-4o-mini,2026-08-08T05:31:18.766281
65,25808,232,openai/gpt-4o-mini,2026-08-08T05:31:26.322971
66,25808,232,openai/gpt-4o-mini,2026-08-08T05:31:33.500609
67,25808,166,openai/gpt-4o-mini,2026-08-08T05:31:42.914381
68,25808,233,openai/gpt-4o-mini,2026-08-08T05:31:53.126514
69,25808,165,openai/gpt-4o-mini,2026-08-08T05:31:59.680482
70,25808,165,openai/gpt-4o-mini,2026-08-08T05:32:06.495827
71,25808,233,openai/gpt-4o-mini,2026-08-08T05:32:16.306998
72,25808,200,openai/gpt-4o-mini,2026-08-08T05:32:25.783673
73,25808,200,openai/gpt-4o-mini,2026-08-08T05:32:36.275216
74,25808,166,openai/gpt-4o-mini,2026-08-08T05:32:44.175291
75,25808,233,openai/gpt-4o-mini,2026-08-08T05:32:55.081887
76,25808,165,openai/gpt-4o-mini,2026-08-08T05:33:02.311719
77,25808,233,openai/gpt-4o-mini,2026-08-08T05:33:11.841592
78,25808,233,openai/gpt-4o-mini,2026-08-08T05:33:21.838907
79,25808,165,openai/gpt-4o-mini,2026-08-08T05:33:28.452732
80,25808,232,openai/gpt-4o-mini,2026-08-08T05:33:35.517246
81,25808,199,openai/gpt-4o-mini,2026-08-08T05:33:42.413669
82,25808,166,openai/gpt-4o-mini,2026-08-08T05:33:52.188167
83,25808,232,openai/gpt-4o-mini,2026-08-08T05:33:59.758578
84,25808,232,openai/gpt-4o-mini,2026-08-08T05:34:06.767994
85,25808,166,openai/gpt-4o-mini,2026-08-08T05:34:15.376471
86,25808,166,openai/gpt-4o-mini,2026-08-08T05:34:24.066179
87,25808,165,openai/gpt-4o-mini,2026-08-08T05:34:30.462802
88,25808,233,openai/gpt-4o-mini,2026-08-08T05:34:40.560498
89,25808,166,openai/gpt-4o-mini,2026-08-08T05:34:49.193334
90,25808,232,openai/gpt-4o-mini,2026-08-08T05:34:56.045080
91,25808,233,openai/gpt-4o-mini,2026-08-08T05:35:06.838561
92,25808,233,openai/gpt-4o-mini,2026-08-08T05:35:16.192272
93,25808,233,openai/gpt-4o-mini,2026-08-08T05:35:27.920931
94,25808,232,openai/gpt-4o-mini,2026-08-08T05:35:34.878518
95,25808,233,openai/gpt-4o-mini,2026-08-08T05:35:44.378752
96,25808,233,openai/gpt-4o-mini,2026-08-08T05:35:54.268094
97,25808,233,openai/gpt-4o-mini,2026-08-08T05:36:05.230857
98,25808,200,openai/gpt-4o-mini,2026-08-08T05:36:13.907992
99,25808,166,openai/gpt-4o-mini,2026-08-08T05:36:22.585435
100,25808,200,openai/gpt-4o-mini,2026-08-08T05:36:32.885107
101,25808,233,openai/gpt-4o-mini,2026-08-08T05:36:43.038273
102,25808,233,openai/gpt-4o-mini,2026-08-08T05:36:53.058631
103,25808,233,openai/gpt-4o-mini,2026-08-08T05:37:02.401755
104,25808,232,openai/gpt-4o-mini,2026-08-08T05:37:09.946449
105,25808,199,openai/gpt-4o-mini,2026-08-08T05:37:17.324910
106,25808,232,openai/gpt-4o-mini,2026-08-08T05:37:24.386262
107,25808,232,openai/gpt-4o-mini,2026-08-08T05:37:32.229916
108,25808,233,openai/gpt-4o-mini,2026-08-08T05:37:42.994694
109,25808,165,openai/gpt-4o-mini,2026-08-08T05:37:49.685910
110,25808,165,openai/gpt-4o-mini,2026-08-08T05:37:58.146539
111,25808,200,openai/gpt-4o-mini,2026-08-08T05:38:07.297382
112,25808,199,openai/gpt-4o-mini,2026-08-08T05:38:14.276137
113,25808,165,openai/gpt-4o-mini,2026-08-08T05:38:20.960021
114,25808,166,openai/gpt-4o-mini,2026-08-08T05:38:30.040287
115,25808,165,openai/gpt-4o-mini,2026-08-08T05:38:36.818725
116,25808,165,openai/gpt-4o-mini,2026-08-08T05:38:43.516719
117,25808,166,openai/gpt-4o-mini,2026-08-08T05:38:52.511316
118,25808,166,openai/gpt-4o-mini,2026-08-08T05:39:01.778240
119,25808,232,openai/gpt-4o-mini,2026-08-08T05:39:09.049601
120,25808,166,openai/gpt-4o-mini,2026-08-08T05:39:17.296677
121,25808,165,openai/gpt-4o-mini,2026-08-08T05:39:23.948425
122,25808,232,openai/gpt-4o-mini,2026-08-08T05:39:30.527471
123,25808,232,openai/gpt-4o-mini,2026-08-08T05:39:37.896090
124,25808,232,openai/gpt-4o-mini,2026-08-08T05:39:45.118598
125,25808,233,openai/gpt-4o-mini,2026-08-08T05:39:55.088405
126,25808,200,openai/gpt-4o-mini,2026-08-08T05:40:03.643798
