stimulus,prompt_tokens,completion_tokens
927,1591,169
631,1591,169
683,1591,169
515,1591,169
366,1591,169
657,1591,169
530,1591,169
322,1591,169
71,1591,169
891,1591,169
372,1591,169
768,1591,169
248,1591,169
612,1591,169
706,1591,169
979,1591,169
299,1591,169
102,1591,169
656,1591,169
457,1591,169
1,1591,169
2,1591,169
3,1591,175
4,1591,169
5,1591,169
6,1591,169
7,1591,242
8,1591,169
9,1591,242
10,1591,175
12,1591,169
13,1591,242
14,1591,169
15,1591,242
16,1591,242
17,1591,242
19,1591,169
20,1591,169
21,1591,242
22,1591,175
23,1591,169
24,1591,169
25,1591,169
26,1591,175
27,1591,169
28,1591,175
29,1591,169
30,1591,169
31,1591,169
32,1591,169
33,1591,169
34,1591,169
35,1591,169
36,1591,169
37,1591,169
38,1591,169
39,1591,169
40,1591,169
41,1591,242
42,1591,169
43,1591,169
44,1591,175
45,1591,236
46,1591,242
47,1591,169
48,1591,169
49,1591,169
51,1591,175
53,1591,175
54,1591,169
55,1591,169
56,1591,169
57,1591,169
58,1591,169
59,1591,169
60,1591,169
61,1591,169
63,1591,169
64,1591,169
65,1591,169
66,1591,169
67,1591,175
68,1591,169
69,1591,169
70,1591,169
72,1591,242
73,1591,169
74,1591,236
75,1591,169
76,1591,169
78,1591,169
80,1591,169
81,1591,169
82,1591,175
83,1591,236
84,1591,169
85,1591,169
86,1591,169
87,1591,169
88,1591,169
89,1591,169
90,1591,169
91,1591,242
92,1591,169
93,1591,169
94,1591,169
95,1591,169
96,1591,169
97,1591,169
98,1591,169
99,1591,169
100,1591,169
101,1591,169
103,1591,175
104,1591,169
105,1591,175
106,1591,169
107,1591,169
108,1591,169
109,1591,169
110,1591,236
111,1591,175
112,1591,169
113,1591,169
114,1591,169
115,1591,169
116,1591,169
117,1591,169
118,1591,175
119,1591,175
120,1591,169
121,1591,175
122,1591,175
123,1591,236
124,1591,169
125,1591,169
126,1591,169
127,1591,169
128,1591,175
129,1591,169
130,1591,169
131,1591,175
132,1591,169
133,1591,169
134,1591,242
135,1591,169
136,1591,175
137,1591,175
138,1591,169
139,1591,169
140,1591,169
141,1591,169
142,1591,242
143,1591,169
144,1591,169
145,1591,169
146,1591,242
147,1591,169
148,1591,242
149,1591,169
150,1591,169
151,1591,169
152,1591,236
153,1591,169
154,1591,169
155,1591,236
156,1591,169
157,1591,236
158,1591,169
159,1591,169
160,1591,169
161,1591,169
162,1591,242
163,1591,169
164,1591,169
165,1591,169
166,1591,169
167,1591,175
168,1591,169
169,1591,169
170,1591,169
171,1591,169
172,1591,236
173,1591,169
174,1591,175
175,1591,169
176,1591,242
177,1591,169
178,1591,169
179,1591,169
180,1591,169
181,1591,169
182,1591,169
183,1591,169
184,1591,169
185,1591,169
186,1591,169
187,1591,175
188,1591,169
189,1591,169
190,1591,169
191,1591,169
192,1591,169
193,1591,169
195,1591,169
196,1591,169
197,1591,169
198,1591,175
199,1591,242
200,1591,169
201,1591,169
202,1591,169
203,1591,169
204,1591,169
206,1591,169
207,1591,169
208,1591,242
209,1591,169
210,1591,169
211,1591,242
212,1591,169
213,1591,242
214,1591,236
215,1591,169
216,1591,169
217,1591,169
218,1591,169
219,1591,169
220,1591,169
221,1591,169
222,1591,169
223,1591,169
224,1591,169
225,1591,169
226,1591,236
227,1591,169
228,1591,169
229,1591,169
230,1591,175
231,1591,242
232,1591,169
233,1591,242
234,1591,169
235,1591,169
236,1591,242
237,1591,169
238,1591,169
239,1591,169
240,1591,169
241,1591,242
242,1591,169
243,1591,169
244,1591,175
245,1591,169
246,1591,169
247,1591,169
249,1591,175
250,1591,169
251,1591,242
252,1591,236
253,1591,236
254,1591,169
255,1591,169
256,1591,169
257,1591,169
258,1591,169
259,1591,169
260,1591,169
261,1591,242
262,1591,169
263,1591,169
264,1591,169
265,1591,175
266,1591,169
267,1591,175
268,1591,175
269,1591,169
270,1591,236
271,1591,169
272,1591,242
273,1591,169
274,1591,169
275,1591,169
276,1591,169
277,1591,175
278,1591,169
279,1591,169
280,1591,169
282,1591,169
283,1591,236
284,1591,175
285,1591,169
286,1591,236
287,1591,203
288,1591,242
289,1591,169
290,1591,169
