stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:16:33.668975
24,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:16:42.305592
31,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:16:48.993779
40,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:16:55.430696
55,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:02.235581
60,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:09.492901
64,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:17.319122
67,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:24.275942
68,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:31.128974
71,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:37.760504
77,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:44.341090
89,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:50.971605
97,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:17:57.576525
102,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:04.092637
108,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:10.663943
159,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:17.282923
175,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:23.960799
185,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:30.654604
200,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:38.506769
210,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:45.911841
214,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:18:53.373826
219,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:01.521483
238,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:08.819713
245,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:16.451219
248,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:23.346409
260,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:31.141211
278,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:38.081198
282,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:44.632821
287,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:51.172518
295,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:19:58.437170
297,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:06.056766
299,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:13.493713
313,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:20.307811
315,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:27.678621
322,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:35.523919
332,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:42.905950
333,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:49.660467
352,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:20:56.307191
366,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:02.868125
372,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:09.457108
378,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:16.393051
381,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:23.650788
382,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:30.561796
389,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:40.790991
421,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:51.637789
424,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:21:59.026719
430,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:06.026188
446,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:12.464804
454,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:18.960280
457,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:25.801000
483,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:32.572408
496,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:39.217957
501,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:45.968507
515,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:22:54.648072
520,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:02.071908
527,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:11.559678
530,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:18.526164
552,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:25.936688
559,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:33.576613
594,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:40.204591
599,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:47.542597
606,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:23:54.646795
612,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:01.519956
619,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:08.113947
622,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:17.689527
626,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:25.943021
631,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:33.407534
656,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:40.061791
657,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:46.545841
683,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:53.041619
706,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:24:59.708923
718,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:06.203933
719,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:12.665877
721,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:22.195076
747,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:34.137696
758,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:42.042376
768,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:50.508519
774,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:25:58.849979
784,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:08.254643
794,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:15.607382
804,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:22.626694
810,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:30.473373
817,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:38.205974
820,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:44.731163
849,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:51.648778
877,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:26:58.226911
884,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:04.818378
891,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:11.548410
905,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:18.435072
907,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:25.247899
915,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:31.876558
921,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:38.694241
927,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:47.468492
930,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:27:56.843065
934,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-03T04:28:04.194343
945,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-03T04:28:13.490487
953,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:28:21.324953
955,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:28:30.408830
960,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-03T04:28:38.542324
979,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-03T04:28:45.391326
