stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1363,1914,qwen/qwen3.6-plus,2026-08-03T02:21:49.822946
24,1363,1607,qwen/qwen3.6-plus,2026-08-03T02:22:26.330877
31,1363,2160,qwen/qwen3.6-plus,2026-08-03T02:23:13.998823
40,1363,1797,qwen/qwen3.6-plus,2026-08-03T02:23:52.349105
55,1363,1537,qwen/qwen3.6-plus,2026-08-03T02:24:27.516703
60,1363,1140,qwen/qwen3.6-plus,2026-08-03T02:24:54.494995
64,1363,1427,qwen/qwen3.6-plus,2026-08-03T02:25:29.455071
67,1363,1716,qwen/qwen3.6-plus,2026-08-03T02:26:11.239695
68,1363,1876,qwen/qwen3.6-plus,2026-08-03T02:26:58.706048
71,1363,1903,qwen/qwen3.6-plus,2026-08-03T02:27:40.744070
77,1363,1717,qwen/qwen3.6-plus,2026-08-03T02:28:17.541572
89,1363,1563,qwen/qwen3.6-plus,2026-08-03T02:28:55.707143
97,1363,1401,qwen/qwen3.6-plus,2026-08-03T02:29:27.510747
102,1363,1772,qwen/qwen3.6-plus,2026-08-03T02:30:09.483115
108,1363,1318,qwen/qwen3.6-plus,2026-08-03T02:30:39.767234
159,1363,1991,qwen/qwen3.6-plus,2026-08-03T02:31:22.068172
175,1363,1965,qwen/qwen3.6-plus,2026-08-03T02:32:02.151757
185,1363,1664,qwen/qwen3.6-plus,2026-08-03T02:32:40.263550
200,1363,2120,qwen/qwen3.6-plus,2026-08-03T02:33:25.787955
210,1363,1433,qwen/qwen3.6-plus,2026-08-03T02:33:57.711925
214,1363,1007,qwen/qwen3.6-plus,2026-08-03T02:34:26.713359
219,1363,1703,qwen/qwen3.6-plus,2026-08-03T02:35:03.460224
238,1363,1372,qwen/qwen3.6-plus,2026-08-03T02:35:36.401990
245,1363,1775,qwen/qwen3.6-plus,2026-08-03T02:36:17.132136
248,1363,1306,qwen/qwen3.6-plus,2026-08-03T02:36:53.972365
260,1363,2241,qwen/qwen3.6-plus,2026-08-03T02:37:43.645635
278,1363,1777,qwen/qwen3.6-plus,2026-08-03T02:38:24.653752
282,1363,1342,qwen/qwen3.6-plus,2026-08-03T02:38:55.145881
287,1363,1706,qwen/qwen3.6-plus,2026-08-03T02:39:45.235523
295,1363,1364,qwen/qwen3.6-plus,2026-08-03T02:40:16.832289
297,1363,1449,qwen/qwen3.6-plus,2026-08-03T02:41:01.097437
299,1363,2148,qwen/qwen3.6-plus,2026-08-03T02:41:52.191978
313,1363,1883,qwen/qwen3.6-plus,2026-08-03T02:42:33.287419
315,1363,1523,qwen/qwen3.6-plus,2026-08-03T02:43:18.192462
322,1363,1708,qwen/qwen3.6-plus,2026-08-03T02:43:54.587183
332,1363,1706,qwen/qwen3.6-plus,2026-08-03T02:44:34.261649
333,1363,2191,qwen/qwen3.6-plus,2026-08-03T02:45:26.112915
352,1363,1739,qwen/qwen3.6-plus,2026-08-03T02:46:03.246000
366,1363,1767,qwen/qwen3.6-plus,2026-08-03T02:46:42.065668
372,1363,1549,qwen/qwen3.6-plus,2026-08-03T02:47:18.631851
378,1363,1952,qwen/qwen3.6-plus,2026-08-03T02:48:00.942820
381,1363,1478,qwen/qwen3.6-plus,2026-08-03T02:48:35.191979
382,1363,1949,qwen/qwen3.6-plus,2026-08-03T02:49:16.942521
389,1363,1799,qwen/qwen3.6-plus,2026-08-03T02:49:55.094539
421,1363,2198,qwen/qwen3.6-plus,2026-08-03T02:50:40.667086
424,1363,1590,qwen/qwen3.6-plus,2026-08-03T02:51:17.492566
430,1363,1959,qwen/qwen3.6-plus,2026-08-03T02:52:04.767825
446,1363,1569,qwen/qwen3.6-plus,2026-08-03T02:52:44.210896
454,1363,1635,qwen/qwen3.6-plus,2026-08-03T02:53:19.545252
457,1363,1616,qwen/qwen3.6-plus,2026-08-03T02:53:54.953852
483,1363,1400,qwen/qwen3.6-plus,2026-08-03T02:54:29.303943
496,1363,2150,qwen/qwen3.6-plus,2026-08-03T02:55:14.315166
501,1363,1390,qwen/qwen3.6-plus,2026-08-03T02:55:45.447469
515,1363,1407,qwen/qwen3.6-plus,2026-08-03T02:56:18.107382
520,1363,1531,qwen/qwen3.6-plus,2026-08-03T02:56:51.678358
527,1363,1706,qwen/qwen3.6-plus,2026-08-03T02:57:31.959063
530,1363,1744,qwen/qwen3.6-plus,2026-08-03T02:58:12.384481
552,1363,1511,qwen/qwen3.6-plus,2026-08-03T02:58:44.790488
559,1363,2015,qwen/qwen3.6-plus,2026-08-03T02:59:26.171031
594,1363,2821,qwen/qwen3.6-plus,2026-08-03T03:00:22.032644
599,1363,1277,qwen/qwen3.6-plus,2026-08-03T03:00:57.168072
606,1363,1813,qwen/qwen3.6-plus,2026-08-03T03:01:38.647295
612,1363,1596,qwen/qwen3.6-plus,2026-08-03T03:02:20.329413
619,1363,1889,qwen/qwen3.6-plus,2026-08-03T03:03:12.349387
622,1363,1740,qwen/qwen3.6-plus,2026-08-03T03:03:57.882956
626,1363,2170,qwen/qwen3.6-plus,2026-08-03T03:04:49.435470
631,1363,2098,qwen/qwen3.6-plus,2026-08-03T03:05:32.579783
656,1363,1967,qwen/qwen3.6-plus,2026-08-03T03:06:23.466786
657,1363,1596,qwen/qwen3.6-plus,2026-08-03T03:07:14.440278
683,1363,1991,qwen/qwen3.6-plus,2026-08-03T03:08:04.725055
706,1363,1480,qwen/qwen3.6-plus,2026-08-03T03:08:45.658345
718,1363,1642,qwen/qwen3.6-plus,2026-08-03T03:09:38.396689
719,1363,1352,qwen/qwen3.6-plus,2026-08-03T03:10:17.851020
721,1363,1540,qwen/qwen3.6-plus,2026-08-03T03:10:50.664695
747,1363,2102,qwen/qwen3.6-plus,2026-08-03T03:11:47.119189
758,1363,1523,qwen/qwen3.6-plus,2026-08-03T03:12:38.073362
768,1363,1799,qwen/qwen3.6-plus,2026-08-03T03:13:32.195047
774,1363,1865,qwen/qwen3.6-plus,2026-08-03T03:14:17.832203
784,1363,1406,qwen/qwen3.6-plus,2026-08-03T03:14:55.362479
794,1363,1771,qwen/qwen3.6-plus,2026-08-03T03:15:48.651509
804,1363,2192,qwen/qwen3.6-plus,2026-08-03T03:16:40.472013
810,1363,1728,qwen/qwen3.6-plus,2026-08-03T03:17:18.671260
817,1363,1389,qwen/qwen3.6-plus,2026-08-03T03:17:56.291997
820,1363,1480,qwen/qwen3.6-plus,2026-08-03T03:18:36.003530
849,1363,1650,qwen/qwen3.6-plus,2026-08-03T03:19:11.725430
877,1363,1790,qwen/qwen3.6-plus,2026-08-03T03:19:52.763544
884,1363,1324,qwen/qwen3.6-plus,2026-08-03T03:20:30.164580
891,1363,1628,qwen/qwen3.6-plus,2026-08-03T03:21:09.485268
905,1363,1551,qwen/qwen3.6-plus,2026-08-03T03:21:50.463890
907,1363,1524,qwen/qwen3.6-plus,2026-08-03T03:22:26.405258
915,1363,1386,qwen/qwen3.6-plus,2026-08-03T03:23:00.246473
921,1363,1931,qwen/qwen3.6-plus,2026-08-03T03:23:46.138311
927,1363,1693,qwen/qwen3.6-plus,2026-08-03T03:24:23.958183
930,1363,1971,qwen/qwen3.6-plus,2026-08-03T03:25:06.794498
934,1363,1573,qwen/qwen3.6-plus,2026-08-03T03:25:39.648378
945,1363,1656,qwen/qwen3.6-plus,2026-08-03T03:26:16.661050
953,1363,1309,qwen/qwen3.6-plus,2026-08-03T03:26:47.523373
955,1363,1444,qwen/qwen3.6-plus,2026-08-03T03:27:19.908050
960,1363,1269,qwen/qwen3.6-plus,2026-08-03T03:27:54.137989
979,1363,1723,qwen/qwen3.6-plus,2026-08-03T03:28:32.784721
