model,competence_acc,electability_acc,advisor_direct_acc,prediction_acc,competence_ci_low,competence_ci_high,competence_n
Grok 4.5,0.641,0.639,0.658,0.674,0.575,0.701,217
Gemini 3.1 Flash Lite,0.65,0.557,0.491,0.729,0.581,0.713,197
Grok 4.3,0.707,0.589,0.581,0.606,0.627,0.776,140
Claude Sonnet 5,0.768,0.623,0.541,0.67,0.675,0.84,99
Claude Opus 5,0.634,0.571,0.554,0.707,0.569,0.694,224
Mistral Large 3,0.733,0.671,0.747,0.73,0.657,0.798,150
GPT-5.4 Mini,0.68,0.6,0.623,0.677,0.608,0.745,175
Ministral 3 3B,0.61,0.545,0.523,0.554,0.538,0.677,187
Qwen3 VL 32B Instruct,0.673,0.575,0.571,0.626,0.609,0.731,223
Gemini 2.5 Flash-Lite,0.622,0.623,0.637,0.65,0.558,0.682,230
Qwen3 VL 8B Instruct,0.727,0.622,0.644,0.648,0.659,0.786,187
Llama 4 Scout,0.685,0.61,0.61,0.592,0.614,0.749,178
GLM 4.5V,0.67,0.656,0.634,0.655,0.6,0.733,188
Kimi K2.5,0.645,0.622,0.635,0.689,0.58,0.706,220
Nova 2 Lite,0.626,0.545,0.543,0.62,0.547,0.698,155
