model,competence_acc,electability_acc,advisor_direct_acc,prediction_acc
Grok 4.5,0.607,0.6,0.601,0.639
Gemini 3.1 Flash Lite,0.613,0.543,0.507,0.647
Grok 4.3,0.6,0.55,0.547,0.577
Claude Sonnet 5,0.592,0.554,0.516,0.617
Claude Opus 5,0.622,0.564,0.552,0.682
Mistral Large 3,0.635,0.548,0.566,0.598
GPT-5.4 Mini,0.627,0.563,0.563,0.6
Ministral 3 3B,0.578,0.54,0.522,0.534
Qwen3 VL 32B Instruct,0.648,0.567,0.563,0.612
Gemini 2.5 Flash-Lite,0.605,0.598,0.607,0.628
Qwen3 VL 8B Instruct,0.662,0.609,0.622,0.623
Llama 4 Scout,0.621,0.587,0.574,0.581
GLM 4.5V,0.62,0.601,0.579,0.644
Kimi K2.5,0.62,0.588,0.598,0.642
Nova 2 Lite,0.575,0.535,0.533,0.589
