model,competence_acc,electability_acc,comp_minus_electability,advisor_direct_acc,comp_minus_advisor_direct,prediction_acc,comp_minus_prediction
Grok 4.5,0.641,0.639,0.002,0.658,-0.017,0.674,-0.033
Gemini 3.1 Flash Lite,0.65,0.557,0.093,0.491,0.159,0.729,-0.079
Grok 4.3,0.707,0.589,0.118,0.581,0.126,0.606,0.101
Claude Sonnet 5,0.768,0.623,0.145,0.541,0.227,0.67,0.098
Claude Opus 5,0.634,0.571,0.063,0.554,0.08,0.707,-0.073
Mistral Large 3,0.733,0.671,0.062,0.747,-0.014,0.73,0.003
GPT-5.4 Mini,0.68,0.6,0.08,0.623,0.057,0.677,0.003
Ministral 3 3B,0.61,0.545,0.065,0.523,0.087,0.554,0.056
Qwen3 VL 32B Instruct,0.673,0.575,0.098,0.571,0.102,0.626,0.047
Gemini 2.5 Flash-Lite,0.622,0.623,-0.001,0.637,-0.015,0.65,-0.028
Qwen3 VL 8B Instruct,0.727,0.622,0.105,0.644,0.083,0.648,0.079
Llama 4 Scout,0.685,0.61,0.075,0.61,0.075,0.592,0.093
GLM 4.5V,0.67,0.656,0.014,0.634,0.036,0.655,0.015
Kimi K2.5,0.645,0.622,0.023,0.635,0.01,0.689,-0.044
Nova 2 Lite,0.626,0.545,0.081,0.543,0.083,0.62,0.006
