model,competence_acc,electability_acc,comp_minus_electability,advisor_direct_acc,comp_minus_advisor_direct,prediction_acc,comp_minus_prediction
Grok 4.5,0.607,0.6,0.007,0.601,0.006,0.639,-0.032
Gemini 3.1 Flash Lite,0.613,0.543,0.07,0.507,0.106,0.647,-0.034
Grok 4.3,0.6,0.55,0.05,0.547,0.053,0.577,0.023
Claude Sonnet 5,0.592,0.554,0.038,0.516,0.076,0.617,-0.025
Claude Opus 5,0.622,0.564,0.058,0.552,0.07,0.682,-0.06
Mistral Large 3,0.635,0.548,0.087,0.566,0.069,0.598,0.037
GPT-5.4 Mini,0.627,0.563,0.064,0.563,0.064,0.6,0.027
Ministral 3 3B,0.578,0.54,0.038,0.522,0.056,0.534,0.044
Qwen3 VL 32B Instruct,0.648,0.567,0.081,0.563,0.085,0.612,0.036
Gemini 2.5 Flash-Lite,0.605,0.598,0.007,0.607,-0.002,0.628,-0.023
Qwen3 VL 8B Instruct,0.662,0.609,0.053,0.622,0.04,0.623,0.039
Llama 4 Scout,0.621,0.587,0.034,0.574,0.047,0.581,0.04
GLM 4.5V,0.62,0.601,0.019,0.579,0.041,0.644,-0.024
Kimi K2.5,0.62,0.588,0.032,0.598,0.022,0.642,-0.022
Nova 2 Lite,0.575,0.535,0.04,0.533,0.042,0.589,-0.014
