model,filtered_acc,filtered_ci_low,filtered_ci_high,filtered_n,filtered_p,unfiltered_acc,unfiltered_n
Grok 4.5,0.658,0.589,0.721,193,1.3e-05,0.601,261
Gemini 3.1 Flash Lite,0.491,0.402,0.581,116,9.3e-01,0.507,213
Grok 4.3,0.581,0.501,0.658,148,5.8e-02,0.547,261
Claude Sonnet 5,0.541,0.448,0.632,109,4.4e-01,0.516,261
Claude Opus 5,0.554,0.489,0.616,233,1.2e-01,0.552,260
Mistral Large 3,0.747,0.638,0.831,75,2.2e-05,0.566,261
GPT-5.4 Mini,0.623,0.545,0.694,159,2.5e-03,0.563,261
Ministral 3 3B,0.523,0.457,0.589,214,5.4e-01,0.522,261
Qwen3 VL 32B Instruct,0.571,0.507,0.634,231,3.5e-02,0.563,261
Gemini 2.5 Flash-Lite,0.637,0.57,0.699,212,8.2e-05,0.607,261
Qwen3 VL 8B Instruct,0.644,0.578,0.704,219,2.5e-05,0.622,261
Llama 4 Scout,0.61,0.538,0.677,187,3.3e-03,0.574,261
GLM 4.5V,0.634,0.56,0.702,172,5.6e-04,0.579,261
Kimi K2.5,0.635,0.564,0.7,189,2.6e-04,0.598,259
Nova 2 Lite,0.543,0.473,0.61,199,2.6e-01,0.533,261
