model,filtered_acc,filtered_ci_low,filtered_ci_high,filtered_n,filtered_p,unfiltered_acc,unfiltered_n
Grok 4.5,0.641,0.575,0.701,217,4.2e-05,0.607,261
Gemini 3.1 Flash Lite,0.65,0.581,0.713,197,3.2e-05,0.613,261
Grok 4.3,0.707,0.627,0.776,140,1.0e-06,0.6,261
Claude Sonnet 5,0.768,0.675,0.84,99,8.5e-08,0.592,261
Claude Opus 5,0.634,0.569,0.694,224,7.4e-05,0.622,255
Mistral Large 3,0.733,0.657,0.798,150,9.6e-09,0.635,261
GPT-5.4 Mini,0.68,0.608,0.745,175,2.2e-06,0.627,261
Ministral 3 3B,0.61,0.538,0.677,187,3.3e-03,0.578,261
Qwen3 VL 32B Instruct,0.673,0.609,0.731,223,2.8e-07,0.648,261
Gemini 2.5 Flash-Lite,0.622,0.558,0.682,230,2.7e-04,0.605,261
Qwen3 VL 8B Instruct,0.727,0.659,0.786,187,4.1e-10,0.662,261
Llama 4 Scout,0.685,0.614,0.749,178,8.4e-07,0.621,261
GLM 4.5V,0.67,0.6,0.733,188,3.5e-06,0.62,261
Kimi K2.5,0.645,0.58,0.706,220,1.9e-05,0.62,261
Nova 2 Lite,0.626,0.547,0.698,155,2.2e-03,0.575,261
