model,filtered_acc,filtered_ci_low,filtered_ci_high,filtered_n,filtered_p,unfiltered_acc,unfiltered_n
Grok 4.5,0.639,0.572,0.702,208,7.0e-05,0.6,261
Gemini 3.1 Flash Lite,0.557,0.474,0.637,140,2.0e-01,0.543,248
Grok 4.3,0.589,0.511,0.662,158,3.1e-02,0.55,261
Claude Sonnet 5,0.623,0.531,0.706,114,1.1e-02,0.554,261
Claude Opus 5,0.571,0.507,0.633,233,3.6e-02,0.564,261
Mistral Large 3,0.671,0.555,0.77,70,5.6e-03,0.548,261
GPT-5.4 Mini,0.6,0.524,0.672,165,1.2e-02,0.563,261
Ministral 3 3B,0.545,0.478,0.61,213,2.2e-01,0.54,261
Qwen3 VL 32B Instruct,0.575,0.511,0.637,233,2.6e-02,0.567,261
Gemini 2.5 Flash-Lite,0.623,0.558,0.684,223,2.8e-04,0.598,261
Qwen3 VL 8B Instruct,0.622,0.557,0.683,225,3.0e-04,0.609,261
Llama 4 Scout,0.61,0.542,0.674,205,2.0e-03,0.587,261
GLM 4.5V,0.656,0.586,0.72,189,2.1e-05,0.601,261
Kimi K2.5,0.622,0.553,0.686,201,6.7e-04,0.588,261
Nova 2 Lite,0.545,0.476,0.613,198,2.3e-01,0.535,261
