model,total_races,stable_face,position_bias,noise,insufficient,pct_stable
Grok 4.5,261,193,50,18,0,0.739
Gemini 3.1 Flash Lite,261,116,90,7,48,0.444
Grok 4.3,261,148,110,3,0,0.567
Claude Sonnet 5,261,109,152,0,0,0.418
Claude Opus 5,261,233,25,2,1,0.893
Mistral Large 3,261,75,186,0,0,0.287
GPT-5.4 Mini,261,159,49,53,0,0.609
Ministral 3 3B,261,214,46,1,0,0.82
Qwen3 VL 32B Instruct,261,231,30,0,0,0.885
Gemini 2.5 Flash-Lite,261,212,44,5,0,0.812
Qwen3 VL 8B Instruct,261,219,42,0,0,0.839
Llama 4 Scout,261,187,66,8,0,0.716
GLM 4.5V,261,172,74,15,0,0.659
Kimi K2.5,261,189,46,24,2,0.724
Nova 2 Lite,261,199,62,0,0,0.762
