model,total_races,stable_face,position_bias,noise,insufficient,pct_stable
Grok 4.5,261,217,29,15,0,0.831
Gemini 3.1 Flash Lite,261,197,58,6,0,0.755
Grok 4.3,261,140,117,4,0,0.536
Claude Sonnet 5,261,99,162,0,0,0.379
Claude Opus 5,261,224,24,7,6,0.858
Mistral Large 3,261,150,111,0,0,0.575
GPT-5.4 Mini,261,175,51,35,0,0.67
Ministral 3 3B,261,187,74,0,0,0.716
Qwen3 VL 32B Instruct,261,223,38,0,0,0.854
Gemini 2.5 Flash-Lite,261,230,31,0,0,0.881
Qwen3 VL 8B Instruct,261,187,74,0,0,0.716
Llama 4 Scout,261,178,78,5,0,0.682
GLM 4.5V,261,188,73,0,0,0.72
Kimi K2.5,261,220,32,9,0,0.843
Nova 2 Lite,261,155,106,0,0,0.594
