model,total_races,stable_face,position_bias,noise,insufficient,pct_stable
Grok 4.5,261,208,26,27,0,0.797
Gemini 3.1 Flash Lite,261,140,104,4,13,0.536
Grok 4.3,261,158,102,1,0,0.605
Claude Sonnet 5,261,114,147,0,0,0.437
Claude Opus 5,261,233,26,2,0,0.893
Mistral Large 3,261,70,191,0,0,0.268
GPT-5.4 Mini,261,165,47,49,0,0.632
Ministral 3 3B,261,213,46,2,0,0.816
Qwen3 VL 32B Instruct,261,233,28,0,0,0.893
Gemini 2.5 Flash-Lite,261,223,38,0,0,0.854
Qwen3 VL 8B Instruct,261,225,36,0,0,0.862
Llama 4 Scout,261,205,48,8,0,0.785
GLM 4.5V,261,189,58,14,0,0.724
Kimi K2.5,261,201,35,25,0,0.77
Nova 2 Lite,261,198,61,2,0,0.759
