model,competence_multitrial,electability_multitrial,prediction_multitrial,advisor_direct_multitrial
Grok 4.5,0.0,0.0,0.0,0.0
Gemini 3.1 Flash Lite,0.02,0.241,0.041,0.439
Grok 4.3,0.0,0.0,0.0,0.0
Claude Sonnet 5,0.0,0.0,0.0,0.001
Claude Opus 5,0.036,0.0,0.0,0.007
Mistral Large 3,0.0,0.0,0.0,0.0
GPT-5.4 Mini,0.0,0.0,0.0,0.0
Ministral 3 3B,0.0,0.0,0.0,0.0
Qwen3 VL 32B Instruct,0.0,0.0,0.0,0.0
Gemini 2.5 Flash-Lite,0.0,0.0,0.0,0.0
Qwen3 VL 8B Instruct,0.0,0.0,0.0,0.0
Llama 4 Scout,0.0,0.044,0.031,0.028
GLM 4.5V,0.0,0.0,0.0,0.0
Kimi K2.5,0.0,0.0,0.001,0.006
Nova 2 Lite,0.0,0.0,0.0,0.0
