model,candidate_label,election_id,recognition,common_surname,recognized
Grok 4.5,G1995MS0273N0546,273.0,wrong_guess,False,False
Grok 4.5,G1995MS0273T0545,273.0,wrong_guess,False,False
Grok 4.5,G1996DE0265N0530,265.0,wrong_guess,False,False
Grok 4.5,G1995LA0272T0543,272.0,wrong_guess,False,False
Grok 4.5,G1996IN0266T0531,266.0,wrong_guess,False,False
Grok 4.5,G1996NC0267T0533,267.0,wrong_guess,False,False
Grok 4.5,G1996DE0265T0529,265.0,wrong_guess,False,False
Grok 4.5,G1996IN0266N0532,266.0,wrong_guess,False,False
Grok 4.5,G1996NC0267N0534,267.0,wrong_guess,False,False
Grok 4.5,G1996ND0268T0535,268.0,wrong_guess,False,False
Grok 4.5,G1996WV0271N0542,271.0,wrong_guess,False,False
Grok 4.5,G1996WV0271T0541,271.0,wrong_guess,False,False
Grok 4.5,G1996ND0268N0536,268.0,wrong_guess,False,False
Grok 4.5,G1997NJ0263N0526,263.0,correct,False,True
Grok 4.5,G1998AL0237N0474,237.0,wrong_guess,False,False
Grok 4.5,G1998AL0237T0473,237.0,wrong_guess,False,False
Grok 4.5,G1996UT0269N0538,269.0,wrong_guess,False,False
Grok 4.5,G1997VA0264N0528,264.0,wrong_guess,False,False
Grok 4.5,G1997NJ0263T0525,263.0,wrong_guess,False,False
Grok 4.5,G1998CA0239N0478,239.0,wrong_guess,False,False
Grok 4.5,G1998AZ0238N0476,238.0,wrong_guess,False,False
Grok 4.5,G1998AZ0238T0475,238.0,wrong_guess,False,False
Grok 4.5,G1998CO0240T0479,240.0,wrong_guess,False,False
Grok 4.5,G1996UT0269T0537,269.0,wrong_guess,False,False
Grok 4.5,G1998CT0241T0481,241.0,wrong_guess,False,False
Grok 4.5,G1998CO0240N0480,240.0,wrong_guess,False,False
Grok 4.5,G1998FL0242T0483,242.0,wrong_guess,False,False
Grok 4.5,G1998GA0243T0485,243.0,wrong_guess,False,False
Grok 4.5,G1997VA0264T0527,264.0,wrong_guess,False,False
Grok 4.5,G1998HI0244N0488,244.0,wrong_guess,False,False
Grok 4.5,G1998FL0242N0484,242.0,wrong_guess,False,False
Grok 4.5,G1998CT0241N0482,241.0,wrong_guess,False,False
Grok 4.5,G1998IL0245T0489,245.0,wrong_guess,False,False
Grok 4.5,G1998GA0243N0486,243.0,wrong_guess,False,False
Grok 4.5,G1998CA0239T0477,239.0,wrong_guess,False,False
Grok 4.5,G1998IL0245N0490,245.0,wrong_guess,False,False
Grok 4.5,G1998HI0244T0487,244.0,wrong_guess,False,False
Grok 4.5,G1998MA0249T0497,249.0,wrong_guess,False,False
Grok 4.5,G1998MA0249N0498,249.0,wrong_guess,False,False
Grok 4.5,G1998KS0247N0494,247.0,wrong_guess,False,False
Grok 4.5,G1998MD0248N0496,248.0,wrong_guess,False,False
Grok 4.5,G1998MD0248T0495,248.0,wrong_guess,False,False
Grok 4.5,G1998MI0250N0500,250.0,wrong_guess,False,False
Grok 4.5,G1998KS0247T0493,247.0,wrong_guess,False,False
Grok 4.5,G1998NE0251T0501,251.0,wrong_guess,False,False
Grok 4.5,G1998NE0251N0502,251.0,wrong_guess,False,False
Grok 4.5,G1998IA0246N0492,246.0,wrong_guess,False,False
Grok 4.5,G1998NM0253T0505,253.0,wrong_guess,False,False
Grok 4.5,G1998NY0254N0508,254.0,correct,False,True
Grok 4.5,G1998NM0253N0506,253.0,wrong_guess,False,False
Grok 4.5,G1998MI0250T0499,250.0,wrong_guess,False,False
Grok 4.5,G1998NV0252T0503,252.0,wrong_guess,False,False
Grok 4.5,G1998NV0252N0504,252.0,wrong_guess,False,False
Grok 4.5,G1998OK0256T0511,256.0,wrong_guess,False,False
Grok 4.5,G1998NY0254T0507,254.0,wrong_guess,False,False
Grok 4.5,G1998OK0256N0512,256.0,wrong_guess,False,False
Grok 4.5,G1998OH0255N0510,255.0,wrong_guess,False,False
Grok 4.5,G1998RI0259N0518,259.0,wrong_guess,False,False
Grok 4.5,G1998PA0258T0515,258.0,wrong_guess,False,False
Grok 4.5,G1998OH0255T0509,255.0,wrong_guess,False,False
Grok 4.5,G1998OR0257N0514,257.0,wrong_guess,False,False
Grok 4.5,G1998OR0257T0513,257.0,wrong_guess,False,False
Grok 4.5,G1998PA0258N0516,258.0,wrong_guess,False,False
Grok 4.5,G1998SC0260N0520,260.0,wrong_guess,False,False
Grok 4.5,G1998RI0259T0517,259.0,wrong_guess,False,False
Grok 4.5,G1998SD0261T0521,261.0,wrong_guess,False,False
Grok 4.5,G1998SD0261N0522,261.0,wrong_guess,False,False
Grok 4.5,G1998SC0260T0519,260.0,wrong_guess,False,False
Grok 4.5,G1999LA0235N0470,235.0,wrong_guess,False,False
Grok 4.5,G1998TN0262T0523,262.0,wrong_guess,False,False
Grok 4.5,G1999KY0234T0467,234.0,wrong_guess,False,False
Grok 4.5,G1999KY0234N0468,234.0,wrong_guess,False,False
Grok 4.5,G1999MS0236T0471,236.0,wrong_guess,False,False
Grok 4.5,G1999LA0235T0469,235.0,wrong_guess,False,False
Grok 4.5,G2000MO0225N0450,225.0,wrong_guess,False,False
Grok 4.5,G2000MT0226T0451,226.0,wrong_guess,False,False
Grok 4.5,G2000MT0226N0452,226.0,wrong_guess,False,False
Grok 4.5,G2000MO0225T0449,225.0,wrong_guess,False,False
Grok 4.5,G1999MS0236N0472,236.0,wrong_guess,False,False
Grok 4.5,G2000ND0229N0458,229.0,wrong_guess,False,False
Grok 4.5,G2000ND0229T0457,229.0,wrong_guess,False,False
Grok 4.5,G2000NC0228N0456,228.0,wrong_guess,False,False
Grok 4.5,G2000NC0228T0455,228.0,wrong_guess,False,False
Grok 4.5,G1998TN0262N0524,262.0,wrong_guess,False,False
Grok 4.5,G2000NH0227T0453,227.0,wrong_guess,False,False
Grok 4.5,G2000UT0230N0460,230.0,wrong_guess,False,False
Grok 4.5,G2000UT0230T0459,230.0,wrong_guess,False,False
Grok 4.5,G2000WA0232T0463,232.0,wrong_guess,False,False
Grok 4.5,G2000WA0232N0464,232.0,wrong_guess,False,False
Grok 4.5,G2000VT0231T0461,231.0,wrong_guess,False,False
Grok 4.5,S2000AZ0121N0242,121.0,wrong_guess,False,False
Grok 4.5,G2000WV0233T0465,233.0,wrong_guess,False,False
Grok 4.5,G2000WV0233N0466,233.0,wrong_guess,False,False
Grok 4.5,S2000CA0122N0244,122.0,wrong_guess,False,False
Grok 4.5,S2000DE0123N0246,123.0,wrong_guess,False,False
Grok 4.5,S2000AZ0121I0241,121.0,wrong_guess,False,False
Grok 4.5,G2000VT0231N0462,231.0,wrong_guess,False,False
Grok 4.5,S2000FL0124N0248,124.0,wrong_guess,False,False
Grok 4.5,S2000CA0122T0243,122.0,wrong_guess,False,False
Grok 4.5,S2000FL0124T0247,124.0,wrong_guess,False,False
Grok 4.5,S2000GA0125N0250,125.0,wrong_guess,False,False
Grok 4.5,S2000HI0126T0251,126.0,wrong_guess,False,False
Grok 4.5,S2000GA0125T0249,125.0,wrong_guess,False,False
Grok 4.5,S2000IN0127T0253,127.0,wrong_guess,False,False
Grok 4.5,S2000MA0128T0255,128.0,wrong_guess,False,False
Grok 4.5,S2000IN0127N0254,127.0,wrong_guess,False,False
Grok 4.5,S2000DE0123T0245,123.0,wrong_guess,False,False
Grok 4.5,S2000MA0128N0256,128.0,wrong_guess,False,False
Grok 4.5,S2000ME0130N0260,130.0,correct,False,True
Grok 4.5,S2000HI0126N0252,126.0,wrong_guess,False,False
Grok 4.5,S2000MI0131T0261,131.0,wrong_guess,False,False
Grok 4.5,S2000ME0130T0259,130.0,wrong_guess,False,False
Grok 4.5,S2000MD0129T0257,129.0,wrong_guess,False,False
Grok 4.5,S2000MN0132T0263,132.0,wrong_guess,False,False
Grok 4.5,S2000MI0131N0262,131.0,wrong_guess,False,False
Grok 4.5,S2000MN0132N0264,132.0,wrong_guess,False,False
Grok 4.5,S2000MT0134T0267,134.0,wrong_guess,False,False
Grok 4.5,S2000MO0133T0265,133.0,wrong_guess,False,False
Grok 4.5,S2000MT0134N0268,134.0,wrong_guess,False,False
Grok 4.5,S2000MO0133N0266,133.0,wrong_guess,False,False
Grok 4.5,S2000ND0135N0270,135.0,wrong_guess,False,False
Grok 4.5,S2000NM0137T0273,137.0,wrong_guess,False,False
Grok 4.5,S2000ND0135T0269,135.0,wrong_guess,False,False
Grok 4.5,S2000NM0137N0274,137.0,wrong_guess,False,False
Grok 4.5,S2000NE0136N0272,136.0,wrong_guess,False,False
Grok 4.5,S2000OH0139T0277,139.0,wrong_guess,False,False
Grok 4.5,S2000OH0139N0278,139.0,wrong_guess,False,False
Grok 4.5,S2000PA0140N0280,140.0,correct,False,True
Grok 4.5,S2000NE0136T0271,136.0,wrong_guess,False,False
Grok 4.5,S2000RI0141T0281,141.0,wrong_guess,False,False
Grok 4.5,S2000RI0141N0282,141.0,wrong_guess,False,False
Grok 4.5,S2000PA0140T0279,140.0,wrong_guess,False,False
Grok 4.5,S2000NV0138T0275,138.0,wrong_guess,False,False
Grok 4.5,S2000TX0143T0285,143.0,wrong_guess,False,False
Grok 4.5,S2000NV0138N0276,138.0,wrong_guess,False,False
Grok 4.5,S2000TN0142N0284,142.0,wrong_guess,False,False
Grok 4.5,S2000UT0144T0287,144.0,wrong_guess,False,False
Grok 4.5,S2000TX0143N0286,143.0,wrong_guess,False,False
Grok 4.5,S2000VA0145N0290,145.0,wrong_guess,False,False
Grok 4.5,S2000TN0142T0283,142.0,wrong_guess,False,False
Grok 4.5,S2000UT0144N0288,144.0,wrong_guess,False,False
Grok 4.5,S2000VT0146T0291,146.0,wrong_guess,False,False
Grok 4.5,S2000VT0146N0292,146.0,wrong_guess,False,False
Grok 4.5,S2000VA0145T0289,145.0,wrong_guess,False,False
Grok 4.5,S2000WI0148T0295,148.0,wrong_guess,False,False
Grok 4.5,S2000WA0147T0293,147.0,wrong_guess,False,False
Grok 4.5,S2000WA0147N0294,147.0,wrong_guess,False,False
Grok 4.5,S2000WI0148N0296,148.0,wrong_guess,False,False
Grok 4.5,S2000WY0150T0299,150.0,declined,False,False
Grok 4.5,G2001NJ0221T0441,221.0,wrong_guess,False,False
Grok 4.5,S2000WV0149T0297,149.0,wrong_guess,False,False
Grok 4.5,S2000WY0150N0300,150.0,wrong_guess,False,False
Grok 4.5,G2001VA0222N0444,222.0,wrong_guess,False,False
Grok 4.5,S2000WV0149N0298,149.0,wrong_guess,False,False
Grok 4.5,G2001NJ0221N0442,221.0,wrong_guess,False,False
Grok 4.5,G2002AL0186T0371,186.0,wrong_guess,False,False
Grok 4.5,G2001VA0222T0443,222.0,wrong_guess,False,False
Grok 4.5,G2002AK0187N0374,187.0,wrong_guess,False,False
Grok 4.5,G2002AR0189N0378,189.0,wrong_guess,False,False
Grok 4.5,G2002AL0186N0372,186.0,wrong_guess,False,False
Grok 4.5,G2002AK0187T0373,187.0,wrong_guess,False,False
Grok 4.5,G2002AZ0188N0376,188.0,wrong_guess,False,False
Grok 4.5,G2002AR0189T0377,189.0,wrong_guess,False,False
Grok 4.5,G2002AZ0188T0375,188.0,correct,False,True
