attribute,human_reliability_r2,ai_performance_r2,self_reliability_r2,model
looks-like-you,0.38054295573832264,0.0024340923632051076,0.3898497067709138,Gemini 2.5 Flash-Lite
familiar,0.4784127106815216,0.037461877836304024,0.5366294121087328,Gemini 2.5 Flash-Lite
memorable,0.6412399873298605,0.2071120585167541,0.5425875453160679,Gemini 2.5 Flash-Lite
godly,0.6765459658010349,0.006018069959546757,0.45366373866198956,Gemini 2.5 Flash-Lite
typical,0.7133443233899913,0.03814377989865905,0.6796211253645162,Gemini 2.5 Flash-Lite
alert,0.746442598421755,0.15905768720405636,0.46133419468216785,Gemini 2.5 Flash-Lite
smart,0.795074547217624,0.3362490840234357,0.676648873553882,Gemini 2.5 Flash-Lite
liberal,0.8103673516937314,0.23315485551213264,0.6319604693039199,Gemini 2.5 Flash-Lite
smug,0.8163247383265589,0.432189694857699,0.7433515913917388,Gemini 2.5 Flash-Lite
privileged,0.8167972157380163,0.3657878091928231,0.8157353558428883,Gemini 2.5 Flash-Lite
dorky,0.8415189910823784,0.35744027212486823,0.6997112879606507,Gemini 2.5 Flash-Lite
gay,0.8500919800588375,0.0013612117557386901,0.7314062840398721,Gemini 2.5 Flash-Lite
attractive,0.8520247910105196,0.6018628067981986,0.912626198788275,Gemini 2.5 Flash-Lite
trustworthy,0.8690131985382699,0.46702408296008924,0.8359532647212943,Gemini 2.5 Flash-Lite
well-groomed,0.8780994691450046,0.479291728522613,0.902019789398217,Gemini 2.5 Flash-Lite
dominant,0.8876134599414084,0.6621373639851319,0.9199995044546905,Gemini 2.5 Flash-Lite
outgoing,0.9044895209951521,0.7075216492872809,0.8413539931391363,Gemini 2.5 Flash-Lite
weight,0.9113934671767562,0.4877375350979865,0.806026709072178,Gemini 2.5 Flash-Lite
native,0.9296341873667373,0.07138513953518606,0.438599025567152,Gemini 2.5 Flash-Lite
cute,0.9308078833000234,0.7738735273569136,0.9178673932255221,Gemini 2.5 Flash-Lite
hispanic,0.9315797139528387,0.5146897059174067,0.8371161953445293,Gemini 2.5 Flash-Lite
electable,0.934432812361177,0.45535802120374863,0.5705346679720037,Gemini 2.5 Flash-Lite
middle-eastern,0.9353168693863781,0.4373191300602013,0.8632140069493808,Gemini 2.5 Flash-Lite
islander,0.9424354350367901,0.11387927687040242,0.8942544522839838,Gemini 2.5 Flash-Lite
skin-color,0.9590205566689776,0.3320453432082061,0.6957853365006342,Gemini 2.5 Flash-Lite
black,0.9658389982791955,0.6914185925754033,0.9262009930083264,Gemini 2.5 Flash-Lite
happy,0.9680173716516768,0.8545599316590471,0.9418303136194025,Gemini 2.5 Flash-Lite
outdoors,0.9717421791302544,0.6118702727362317,0.9344543663226327,Gemini 2.5 Flash-Lite
white,0.9742860406731676,0.8571835989481106,0.9667864287707709,Gemini 2.5 Flash-Lite
asian,0.975861906108899,0.769063558875309,0.9693028803244886,Gemini 2.5 Flash-Lite
long-haired,0.9784034409111463,0.7645354300365053,0.9639718331971282,Gemini 2.5 Flash-Lite
hair-color,0.9811958347853058,0.5619885177526657,0.8190183691054401,Gemini 2.5 Flash-Lite
gender,0.9833856951119023,0.8485996101393933,0.9392939152349443,Gemini 2.5 Flash-Lite
age,0.9918071771844654,0.9236969399456451,0.9675697308298439,Gemini 2.5 Flash-Lite
looks-like-you,0.38054295573832264,0.008807575230799685,0.0891383910450258,GPT-5.4 Mini
familiar,0.4784127106815216,0.08738196751758646,0.41423635049493246,GPT-5.4 Mini
memorable,0.6412399873298605,0.13741633645546714,0.44469379661872777,GPT-5.4 Mini
godly,0.6765459658010349,0.06975498358983694,0.16441717752721785,GPT-5.4 Mini
typical,0.7133443233899913,0.2659430693329766,0.5781470542790047,GPT-5.4 Mini
alert,0.746442598421755,0.4557866346425082,0.7010898886687946,GPT-5.4 Mini
smart,0.795074547217624,0.49066624918513113,0.6850495962971705,GPT-5.4 Mini
liberal,0.8103673516937314,0.02918061408953382,0.5070090726730475,GPT-5.4 Mini
smug,0.8163247383265589,0.5275100096700708,0.6325767862461341,GPT-5.4 Mini
privileged,0.8167972157380163,0.3893193208085762,0.6531877559394553,GPT-5.4 Mini
dorky,0.8415189910823784,0.46310092125271646,0.7632462306128696,GPT-5.4 Mini
gay,0.8500919800588375,0.1645850705544073,0.23283430566726937,GPT-5.4 Mini
attractive,0.8520247910105196,0.523474469165254,0.8462476915391691,GPT-5.4 Mini
trustworthy,0.8690131985382699,0.4645485169629512,0.6988607001859708,GPT-5.4 Mini
well-groomed,0.8780994691450046,0.3179536380217457,0.757785060671778,GPT-5.4 Mini
dominant,0.8876134599414084,0.6794931321978572,0.8286231499519165,GPT-5.4 Mini
outgoing,0.9044895209951521,0.7688551038087109,0.8599464162981885,GPT-5.4 Mini
weight,0.9113934671767562,0.2927867763662377,0.6188353351095531,GPT-5.4 Mini
native,0.9296341873667373,0.07578635554182742,0.3226369951051997,GPT-5.4 Mini
cute,0.9308078833000234,0.7936427943506833,0.9138808675388506,GPT-5.4 Mini
hispanic,0.9315797139528387,0.3814957267387159,0.6631845704071144,GPT-5.4 Mini
electable,0.934432812361177,0.7502299329018556,0.7885242432678429,GPT-5.4 Mini
middle-eastern,0.9353168693863781,0.420092423954016,0.5508816512442714,GPT-5.4 Mini
islander,0.9424354350367901,0.1021180928575317,0.30803698790065215,GPT-5.4 Mini
