model,mmmu,top3_explained_var,pc1_var,pc2_var,pc3_var
Claude Opus 5,84,0.558,0.272,0.16,0.126
Gemini 3.5 Flash,84,0.509,0.22,0.184,0.104
Grok 4.5,80,0.485,0.222,0.17,0.093
Gemini 3.1 Flash Lite,76,0.479,0.225,0.157,0.097
Grok 4.3,73,0.447,0.21,0.148,0.09
Claude Sonnet 5,72,0.478,0.2,0.154,0.124
Gemma 4 26B A4B,67,0.458,0.228,0.13,0.101
Qwen3 VL 32B Instruct,64,0.463,0.207,0.153,0.103
Claude Sonnet 4,62,0.415,0.18,0.14,0.095
GPT-5.4 Mini,60,0.452,0.2,0.143,0.109
Mistral Large 3,56,0.513,0.275,0.129,0.109
Gemini 2.5 Flash-Lite,54,0.426,0.217,0.113,0.096
Qwen3 VL 8B Instruct,47,0.394,0.172,0.12,0.102
GPT-4o Mini,42,0.453,0.239,0.124,0.089
Ministral 3 3B,38,0.42,0.185,0.12,0.115
Claude 3 Haiku,31,0.545,0.268,0.152,0.125
