model,stable_acc [95% CI],inclusive_acc,n_stable,stable_face,position_bias,noise
Grok 4.5,"0.64 [0.57, 0.70]",0.607,217,217,29,15
Gemini 3.1 Flash Lite,"0.65 [0.58, 0.71]",0.613,197,197,58,6
Grok 4.3,"0.71 [0.63, 0.78]",0.6,140,140,117,4
Claude Sonnet 5,"0.77 [0.68, 0.84]",0.592,99,99,162,0
Claude Opus 5,"0.63 [0.57, 0.69]",0.622,224,224,24,7
Mistral Large 3,"0.73 [0.66, 0.80]",0.635,150,150,111,0
GPT-5.4 Mini,"0.68 [0.61, 0.74]",0.627,175,175,51,35
Ministral 3 3B,"0.61 [0.54, 0.68]",0.578,187,187,74,0
Qwen3 VL 32B Instruct,"0.67 [0.61, 0.73]",0.648,223,223,38,0
Gemini 2.5 Flash-Lite,"0.62 [0.56, 0.68]",0.605,230,230,31,0
Qwen3 VL 8B Instruct,"0.73 [0.66, 0.79]",0.662,187,187,74,0
Llama 4 Scout,"0.69 [0.61, 0.75]",0.621,178,178,78,5
GLM 4.5V,"0.67 [0.60, 0.73]",0.62,188,188,73,0
Kimi K2.5,"0.65 [0.58, 0.71]",0.62,220,220,32,9
Nova 2 Lite,"0.63 [0.55, 0.70]",0.575,155,155,106,0
