election_id,c_pick,c_correct,v_pick,v_correct,margin,model
273.0,G1995MS0273N0546,True,G1995MS0273T0545,False,0.12000000000000005,Grok 4.5
3.0,S2008CO0003N0006,False,S2008CO0003T0005,True,0.11000000000000004,Grok 4.5
4.0,S2008GA0004T0007,False,S2008GA0004N0008,True,0.13999999999999996,Grok 4.5
9.0,S2008KY0009N0018,True,S2008KY0009T0017,False,0.06000000000000005,Grok 4.5
10.0,S2008LA0010N0020,False,S2008LA0010T0019,True,0.06,Grok 4.5
38.0,S2006MO0038N0076,False,S2006MO0038T0075,True,0.020000000000000018,Grok 4.5
39.0,S2006MT0039N0078,False,S2006MT0039T0077,True,0.0,Grok 4.5
43.0,S2006NM0043T0085,True,S2006NM0043N0086,False,0.39999999999999997,Grok 4.5
45.0,S2006OH0045N0090,False,S2006OH0045T0089,True,0.12000000000000005,Grok 4.5
48.0,S2006TN0048N0096,True,S2006TN0048T0095,False,0.020000000000000018,Grok 4.5
49.0,S2006TX0049T0097,False,S2006TX0049N0098,True,0.26,Grok 4.5
50.0,S2006UT0050N0100,True,S2006UT0050T0099,False,0.34,Grok 4.5
51.0,S2006VT0051I0101,True,S2006VT0051N0102,False,0.34,Grok 4.5
53.0,S2006WA0053N0106,False,S2006WA0053T0105,True,0.18,Grok 4.5
54.0,S2006WV0054T0107,True,S2006WV0054N0108,False,0.32,Grok 4.5
55.0,S2006WI0055T0109,True,S2006WI0055N0110,False,0.39999999999999997,Grok 4.5
58.0,S2004AR0058N0116,False,S2004AR0058T0115,True,0.12000000000000005,Grok 4.5
60.0,S2004CO0060T0119,True,S2004CO0060N0120,False,0.040000000000000036,Grok 4.5
61.0,S2004CT0061T0121,True,S2004CT0061N0122,False,0.34,Grok 4.5
74.0,S2004ND0074T0147,True,S2004ND0074N0148,False,0.36000000000000004,Grok 4.5
75.0,S2004NV0075T0149,True,S2004NV0075N0150,False,0.26,Grok 4.5
